"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon"
1,0.0588235294117647,0.834485548609789,0.60944921875,0.5781671875,0.045234375,0.16015625,0.265625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.40528187540469,0.10954421875,0.0782171875,0.119734375,0.03515625,0.765625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,0.0490873852123405,0.35949671875,0.8281421875,0.082484375,0.22265625,0.515625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,1.61988371200724,0.85940171875,0.3281921875,0.00798437499999999,0.09765625,0.015625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,0.441786466911065,0.23452046875,0.7031546875,0.101109375,0.06640625,0.390625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.01258279370596,0.73442546875,0.2032046875,0.026609375,0.19140625,0.890625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,1.22718463030851,0.98437796875,0.9531296875,0.063859375,0.00390625,0.640625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.79798095710341,0.48447296875,0.4531796875,0.138359375,0.12890625,0.140625,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,0.245436926061703,0.79691359375,0.1407109375,0.129046875,0.14453125,0.328125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,1.8162332528566,0.29700859375,0.6406609375,0.054546875,0.01953125,0.828125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,1.03083508945915,0.04705609375,0.3906859375,0.017296875,0.20703125,0.578125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.60163141625405,0.54696109375,0.8906359375,0.091796875,0.08203125,0.078125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,1.42353417115788,0.42198484375,0.0157234375,0.035921875,0.11328125,0.453125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.99433049795277,0.92188984375,0.5156734375,0.110421875,0.23828125,0.953125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,0.638136007760427,0.67193734375,0.2656984375,0.147671875,0.05078125,0.703125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.20893233455532,0.17203234375,0.7656484375,0.073171875,0.17578125,0.203125,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,0.736310778185108,0.26576453125,0.9843765625,0.00332812499999999,0.24609375,0.796875,3.68e-05,5281842,0,0,0,0.01721420632104,0
1,0.0588235294117647,2.30710710498,0.76566953125,0.4844265625,0.077828125,0.12109375,0.296875,3.68e-05,5281842,0,0,0,0.01721420632104,0
