"","sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed","Profile_Type"
"1",0.00019,0.142857142857143,0.1,-3.2273858450721,0.826320384399292,0.0130934788007707,-0.795358616049732,-1.3381509223211,3.68e-05,5301405,14062.720139715,60940.5074295501,0,0,0,0,977.472237377213,-245.432777526039,1030333039,"LHS_search"
"2",0.00019,0.142857142857143,0.1,-3.22418395248259,0.823984090685229,0.0132565459678757,-0.791638670116125,-1.33789226726548,3.68e-05,5301405,14063.0710635024,60939.3004347003,0,0,0,0,962.174274469583,-245.424697572836,40859592,"LHS_search"
"3",0.00019,0.142857142857143,0.1,-3.22359615268868,0.827301751078173,0.0132078635848477,-0.793513263360755,-1.34281779054132,3.68e-05,5301405,14062.0018163355,60938.0234798313,0,0,0,0,959.49472553089,-245.432665713678,513893413,"LHS_search"
"4",0.00019,0.142857142857143,0.1,-3.22812957998827,0.826958003826783,0.0131496594550858,-0.791259209550646,-1.34057698257331,3.68e-05,5301405,14063.9831051135,60938.3304045626,0,0,0,0,973.414436094557,-245.42552428183,641506216,"LHS_search"
"5",0.00019,0.142857142857143,0.1,-3.23776595165763,0.825468118896355,0.0132504190015786,-0.791890326914476,-1.33906460579419,3.67999999999999e-05,5301405,14063.0798802104,60938.0329434203,0,0,0,0,973.363659693114,-245.428724910977,8350632,"LHS_search"
"6",0.00019,0.142857142857143,0.1,-3.23616543422623,0.82554330060827,0.0132383089186484,-0.791681288861935,-1.33776453578371,3.68e-05,5301405,14064.2804800303,60938.7285575612,0,0,0,0,971.429465166664,-245.427992854514,835982286,"LHS_search"
"7",0.00019,0.142857142857143,0.1,-3.22930474889876,0.824251240886129,0.0130883922951023,-0.795092760254347,-1.33231548837794,3.68e-05,5301405,14065.5713032573,60939.3681147725,0,0,0,0,984.093658072576,-245.430307523744,267509757,"LHS_search"
"8",0.00019,0.142857142857143,0.1,-3.21743884614534,0.826199603334317,0.0132020213215875,-0.79381195431845,-1.34427407433022,3.68e-05,5301405,14062.5301675488,60939.0393509501,0,0,0,0,951.083672982111,-245.429357510897,762028374,"LHS_search"
"9",0.00019,0.142857142857143,0.1,-3.23415325961672,0.824521821035949,0.0131552313182331,-0.792232068336923,-1.33718621175562,3.67999999999999e-05,5301405,14063.9740679145,60939.1915758579,0,0,0,0,977.291307259474,-245.422283468601,249986406,"LHS_search"
"10",0.00019,0.142857142857143,0.1,-3.22931314316397,0.823551731970264,0.0131987002995141,-0.791631128232747,-1.33891370767869,3.68e-05,5301405,14062.6458926964,60939.0915621426,0,0,0,0,968.934941935885,-245.419449425444,927553055,"LHS_search"
"11",0.00019,0.142857142857143,0.1,-3.23105440143569,0.824102496453745,0.0132244034819187,-0.793492926534612,-1.3381890629406,3.68e-05,5301405,14062.8430774812,60939.8681467908,0,0,0,0,973.079501598768,-245.429904003022,994597255,"LHS_search"
"12",0.00019,0.142857142857143,0.1,-3.2118652886903,0.825624633300497,0.0130522496206626,-0.79682358232206,-1.34310147762924,3.67999999999999e-05,5301405,14063.0460012876,60939.0988023736,0,0,0,0,968.543867060542,-245.430288258137,274505252,"LHS_search"
"13",0.00019,0.142857142857143,0.1,-3.24113596190317,0.824947393274622,0.0132292720125494,-0.791129985688378,-1.33354557133682,3.68000000000001e-05,5301405,14063.0937816347,60938.7343029947,0,0,0,0,981.492222089269,-245.428420184836,871580252,"LHS_search"
"14",0.00019,0.142857142857143,0.1,-3.22684206092657,0.823685836504842,0.0132265604296815,-0.793011185231912,-1.34096681458515,3.68e-05,5301405,14063.5086402144,60940.943184842,0,0,0,0,963.816918708794,-245.422969937384,453918112,"LHS_search"
"15",0.00019,0.142857142857143,0.1,-3.22783019319079,0.825022380289083,0.0130987530356827,-0.794099703525817,-1.33865354931018,3.68e-05,5301405,14062.312583251,60939.080584384,0,0,0,0,978.623109675375,-245.425792368541,336171367,"LHS_search"
"16",0.00019,0.142857142857143,0.1,-3.21990745533686,0.827003989702632,0.0132373750065012,-0.79276765979405,-1.35120744316712,3.68e-05,5301405,14064.0117334037,60939.6388048056,0,0,0,0,954.048952859624,-245.429348788611,653364325,"LHS_search"
"17",0.00019,0.142857142857143,0.1,-3.2310601725914,0.827105439485756,0.0131575344687149,-0.794408439149898,-1.33656960170563,3.68e-05,5301405,14063.4279687939,60939.4592301804,0,0,0,0,977.678891569325,-245.436870958163,511927125,"LHS_search"
"18",0.00019,0.142857142857143,0.1,-3.23065088115038,0.82518516933668,0.0132407100412574,-0.795445590491088,-1.33888021279673,3.68e-05,5301405,14064.0372298364,60939.9925487826,0,0,0,0,965.629910402972,-245.437800072805,513973853,"LHS_search"
"19",0.00019,0.142857142857143,0.1,-3.22609161243602,0.822747110123731,0.0131765149175556,-0.794320315602016,-1.34563027885628,3.68e-05,5301405,14063.3187943726,60938.1733851537,0,0,0,0,964.64287783227,-245.423040177201,25193546,"LHS_search"
"20",0.00019,0.142857142857143,0.1,-3.21818108994393,0.824322775926573,0.0131738497505199,-0.794921075431727,-1.33729242065689,3.68e-05,5301405,14062.7460263887,60937.8514339383,0,0,0,0,964.372885461488,-245.429828770435,183868830,"LHS_search"
"21",0.00019,0.142857142857143,0.1,-3.224275565755,0.824641418071676,0.0132425344962384,-0.791383573912049,-1.34571150036379,3.68e-05,5301405,14064.9215235781,60937.934158775,0,0,0,0,967.160946902098,-245.42307564247,1004568517,"LHS_search"
"22",0.00019,0.142857142857143,0.1,-3.22529193204472,0.823484264583038,0.0132078039731876,-0.791652243371841,-1.34675142720476,3.68e-05,5301405,14063.0781056647,60937.8343867315,0,0,0,0,960.359166429955,-245.417309468489,574582643,"LHS_search"
"23",0.00019,0.142857142857143,0.1,-3.22544460842571,0.824977514056274,0.0131684599505575,-0.793140230255021,-1.34303370980561,3.68e-05,5301405,14064.0476389596,60939.8257073244,0,0,0,0,971.693544631714,-245.425504522218,628781211,"LHS_search"
"24",0.00019,0.142857142857143,0.1,-3.23436763561139,0.822993855106292,0.0131877518386807,-0.792828525357706,-1.3331149582155,3.67999999999999e-05,5301405,14061.9665638168,60939.166564111,0,0,0,0,979.716969428065,-245.424195439857,440098711,"LHS_search"
"25",0.00019,0.142857142857143,0.1,-3.2331498528778,0.826120641804462,0.0131898733015572,-0.791061867188657,-1.33572746638405,3.68e-05,5301405,14063.7922221479,60937.8054077581,0,0,0,0,979.774432241109,-245.427240714601,329644290,"LHS_search"
"26",0.00019,0.142857142857143,0.1,-3.23745998625711,0.826541736025718,0.0132583115880487,-0.792984833041492,-1.33543524668212,3.67999999999999e-05,5301405,14063.371086665,60938.386635823,0,0,0,0,974.88486784187,-245.437094775121,814424576,"LHS_search"
"27",0.00019,0.142857142857143,0.1,-3.23618270074025,0.822676600557386,0.0132494976769793,-0.791203103653013,-1.33468917913109,3.68e-05,5301405,14064.3431246991,60939.2595364774,0,0,0,0,976.5548724779,-245.423343315679,642503276,"LHS_search"
"28",0.00019,0.142857142857143,0.1,-3.22238663346529,0.824711783795259,0.0131493444907432,-0.794932013214125,-1.34160914839387,3.68e-05,5301405,14063.8209498216,60939.0134866353,0,0,0,0,963.006544741396,-245.427063370208,401090303,"LHS_search"
"29",0.00019,0.142857142857143,0.1,-3.2222579784768,0.825124774258824,0.013209424096864,-0.791936712035413,-1.34286759240002,3.68e-05,5301405,14062.7965866087,60938.4625913916,0,0,0,0,962.633219562602,-245.42288536562,901751394,"LHS_search"
"30",0.00019,0.142857142857143,0.1,-3.23342888323648,0.826981350804651,0.0132505943607883,-0.79225415362744,-1.33646564112937,3.68e-05,5301405,14063.6040167186,60937.2266887897,0,0,0,0,969.519619139627,-245.433764794148,116904834,"LHS_search"
"31",0.00019,0.142857142857143,0.1,-3.23066242955976,0.823248489818572,0.0131481855053028,-0.793654034007887,-1.33617253562308,3.68000000000001e-05,5301405,14063.905916461,60939.0812911937,0,0,0,0,976.946449795169,-245.424748848277,1021595441,"LHS_search"
"32",0.00019,0.142857142857143,0.1,-3.23684412378814,0.825815561982109,0.0132327030765649,-0.789733782237092,-1.33766227025422,3.68e-05,5301405,14063.7391746948,60939.2791338158,0,0,0,0,966.550178250607,-245.424005337137,416402737,"LHS_search"
"33",0.00019,0.142857142857143,0.1,-3.21982300396537,0.825998729160923,0.0131499271221266,-0.795247174240468,-1.3425458339971,3.68e-05,5301405,14061.9626883676,60939.2352622934,0,0,0,0,964.953899220575,-245.431025099676,674537490,"LHS_search"
"34",0.00019,0.142857142857143,0.1,-3.22790566661004,0.82741511836459,0.0131713967639636,-0.792541925047384,-1.34204591610659,3.68e-05,5301405,14063.8342973274,60937.7442271075,0,0,0,0,970.874701141229,-245.429701309565,726542410,"LHS_search"
"35",0.00019,0.142857142857143,0.1,-3.23046814697437,0.82429367361178,0.0132316778694965,-0.792802318842761,-1.33950501730392,3.68e-05,5301405,14064.4407339807,60939.3995715191,0,0,0,0,960.645994561008,-245.424739834921,310487515,"LHS_search"
"36",0.00019,0.142857142857143,0.1,-3.22323766582219,0.823569189261122,0.0131719371716292,-0.792733158592592,-1.34300247366051,3.68e-05,5301405,14062.2310248371,60939.8120952725,0,0,0,0,964.922138590108,-245.41995166343,773127670,"LHS_search"
"37",0.00019,0.142857142857143,0.1,-3.2282019242665,0.827134938394145,0.0132219131552046,-0.792218132168231,-1.34044798677727,3.68e-05,5301405,14062.7731551839,60939.5187237615,0,0,0,0,968.763705855853,-245.430561346969,540477091,"LHS_search"
"38",0.00019,0.142857142857143,0.1,-3.22916162092304,0.825176527838088,0.0131494442092113,-0.795339915015679,-1.34081615648604,3.68e-05,5301405,14063.2653264309,60937.954447635,0,0,0,0,971.678478953371,-245.430509576372,928988253,"LHS_search"
"39",0.00019,0.142857142857143,0.1,-3.23750524101631,0.825842640164739,0.0133802519561595,-0.787175066507413,-1.34203175193484,3.68e-05,5301405,14062.6218231813,60938.5730953588,0,0,0,0,964.179606925532,-245.423187578133,455783892,"LHS_search"
"40",0.00019,0.142857142857143,0.1,-3.22967573203437,0.825620767979489,0.0132358406372248,-0.792173422893799,-1.3373245729671,3.68e-05,5301405,14063.3924199419,60938.2244784495,0,0,0,0,974.584996398399,-245.430193079365,96776647,"LHS_search"
"41",0.00019,0.142857142857143,0.1,-3.22973487181453,0.826634209041485,0.0131913287477293,-0.793187885033376,-1.33766367258418,3.67999999999999e-05,5301405,14064.0080123173,60939.1022068412,0,0,0,0,970.075235326712,-245.431566667316,792459143,"LHS_search"
"42",0.00019,0.142857142857143,0.1,-3.22657116020366,0.825924039183706,0.01321496038494,-0.792058210795409,-1.34434954733672,3.68e-05,5301405,14064.7269272962,60938.7645189637,0,0,0,0,962.91817378023,-245.42509715027,533500929,"LHS_search"
"43",0.00019,0.142857142857143,0.1,-3.22286858183976,0.823746902551339,0.013275344900966,-0.791188585966004,-1.34699515223277,3.68e-05,5301405,14064.4020519362,60939.0762931254,0,0,0,0,954.157136606813,-245.418778203816,708976813,"LHS_search"
"44",0.00019,0.142857142857143,0.1,-3.2311170605952,0.826149029485077,0.0131861929028479,-0.793455735027674,-1.33872290720302,3.68e-05,5301405,14063.2131781937,60938.7708842702,0,0,0,0,976.234656729169,-245.432785051107,696928052,"LHS_search"
"45",0.00019,0.142857142857143,0.1,-3.22735835476861,0.825580958524527,0.0130559757963644,-0.794454192699231,-1.33767624555896,3.68e-05,5301405,14062.8952766612,60938.604284002,0,0,0,0,984.252086282008,-245.429189135445,609280676,"LHS_search"
"46",0.00019,0.142857142857143,0.1,-3.22877515193823,0.827186116082626,0.0132069389948413,-0.793805175444987,-1.3391530442998,3.68e-05,5301405,14062.5715374191,60937.693222108,0,0,0,0,966.208050888297,-245.435180275396,58978259,"LHS_search"
"47",0.00019,0.142857142857143,0.1,-3.23803078792512,0.825673243346666,0.0132997027939792,-0.789581520919762,-1.34465860402294,3.68e-05,5301405,14062.641883091,60937.3458197716,0,0,0,0,961.653040637446,-245.425117525838,272487475,"LHS_search"
"48",0.00019,0.142857142857143,0.1,-3.22815847957015,0.822504190967902,0.0131887869027593,-0.791328738134811,-1.34132498584141,3.68e-05,5301405,14063.2179202485,60938.0691266437,0,0,0,0,972.754621569482,-245.417106848168,51009765,"LHS_search"
"49",0.00019,0.142857142857143,0.1,-3.22780954770815,0.825012887048675,0.0132447276194954,-0.793264698557268,-1.33329930444922,3.68000000000001e-05,5301405,14063.6692208492,60937.8404706632,0,0,0,0,961.765336006112,-245.432154834718,701330348,"LHS_search"
"50",0.00019,0.142857142857143,0.1,-3.23400825721871,0.825211441899419,0.0131687418207593,-0.792888396311963,-1.33883326297685,3.68000000000001e-05,5301405,14064.3495193462,60936.6449931817,0,0,0,0,977.927384093525,-245.427009352396,20477958,"LHS_search"
"51",0.00019,0.142857142857143,0.1,-3.23413085322494,0.825644377974068,0.0132291394892016,-0.790048852791567,-1.34098116866669,3.68e-05,5301405,14063.6402237418,60938.2466304157,0,0,0,0,970.423058809976,-245.422994801245,489579454,"LHS_search"
"52",0.00019,0.142857142857143,0.1,-3.21988388696324,0.823228426808512,0.0132189700953135,-0.79351044368988,-1.3482092583858,3.68e-05,5301405,14063.8820670191,60940.1259551005,0,0,0,0,950.215026912164,-245.420773362251,105777282,"LHS_search"
"53",0.00019,0.142857142857143,0.1,-3.22377899093968,0.825395263195101,0.0131004635061761,-0.795342219100683,-1.33626392781495,3.67999999999999e-05,5301405,14062.4870175632,60938.5697638818,0,0,0,0,970.98725050185,-245.430318772485,556862602,"LHS_search"
"54",0.00019,0.142857142857143,0.1,-3.23449127197511,0.823957264160523,0.0132865779942765,-0.791558906687794,-1.33774873733621,3.68e-05,5301405,14064.0072099115,60936.8324637818,0,0,0,0,962.460513736431,-245.423556047339,776030337,"LHS_search"
"55",0.00019,0.142857142857143,0.1,-3.23465879509136,0.826880223678628,0.0133181028070708,-0.79271152566366,-1.33849946851858,3.68000000000001e-05,5301405,14063.6045464923,60937.8198655739,0,0,0,0,963.920380265663,-245.439013179968,976856513,"LHS_search"
"56",0.00019,0.142857142857143,0.1,-3.22863649307817,0.825179085584979,0.0132017508517798,-0.792472310981942,-1.34155108849465,3.68000000000001e-05,5301405,14063.6318975221,60939.0106745304,0,0,0,0,970.212512316631,-245.424652269942,688306535,"LHS_search"
"57",0.00019,0.142857142857143,0.1,-3.22962069177033,0.823593816898769,0.0132403748670577,-0.793977224013852,-1.34254319199888,3.68000000000001e-05,5301405,14062.9901932614,60937.7057871551,0,0,0,0,962.781750670337,-245.427125471451,297908189,"LHS_search"
"58",0.00019,0.142857142857143,0.1,-3.23772574310737,0.826269478885547,0.0132042962715363,-0.792792231040207,-1.33363950998229,3.68e-05,5301405,14064.0103863488,60938.2406818767,0,0,0,0,978.681529555633,-245.434361656526,536652014,"LHS_search"
