"I_0","gamma","mu_EI","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.142857142857143,0.1,-2.7820778478131,0.57820515625,0.617385594063899,0.0307827278694975,-0.590172664543339,-2.45786519987873,3.68e-05,5301405,60937.9324191796,0,0,0,0,0,-171.217472166231,1019796345
1,0.142857142857143,0.1,-2.77781671475336,0.57820515625,0.615372976919064,0.0305773187894698,-0.59879650979591,-2.46341998291869,3.68e-05,5301405,60938.4597732667,0,0,0,0,0,-171.200280949261,966595480
1,0.142857142857143,0.1,-2.7729912865684,0.57820515625,0.617379573089044,0.0294451931354523,-0.613319849916284,-2.4329384857916,3.68e-05,5301405,60938.7293409928,0,0,0,0,0,-171.211317560455,962048683
1,0.142857142857143,0.1,-2.79451529476781,0.57820515625,0.622411195068759,0.0306996955759464,-0.584800295997192,-2.45962798469338,3.68000000000001e-05,5301405,60939.7650647343,0,0,0,0,0,-171.203041508611,462398557
1,0.142857142857143,0.1,-2.79162404701158,0.57820515625,0.614459250397538,0.0309452801222131,-0.591160728628876,-2.47834194384152,3.68000000000001e-05,5301405,60937.8525199235,0,0,0,0,0,-171.230075684386,688328203
1,0.142857142857143,0.1,-15.6184594970958,0.07830015625,9.33085812218737,0.608030256648185,5.7897696686742,-6.77018699777787,3.68e-05,5301405,210938.860615921,0,0,0,0,0,-288.665900936251,19312484
1,0.142857142857143,0.1,-13.8319363769754,0.07830015625,5.97463284370403,0.687873832184634,5.12305458833536,-6.55814216693342,3.68e-05,5301405,210937.63035908,0,0,0,0,0,-272.213849402019,688204290
1,0.142857142857143,0.1,-14.4970295465961,0.07830015625,9.53075703302275,0.448484472683056,5.16713508364446,-5.7832033699982,3.68e-05,5301405,210937.014264304,0,0,0,0,0,-293.552994341356,714876421
1,0.142857142857143,0.1,-14.6477089191345,0.07830015625,9.16018515028102,0.654032828376812,4.91903315767995,-5.63215455954264,3.68e-05,5301405,210937.703267084,0,0,0,0,0,-286.662803736731,541544715
1,0.142857142857143,0.1,-15.1162515062299,0.07830015625,9.91486481153086,0.659595130212664,5.4757087197272,-6.17450718814634,3.68e-05,5301405,210940.364344999,0,0,0,0,0,-290.136116376608,52568273
1,0.142857142857143,0.1,-7.38361740324806,0.82815765625,9.72297923230051,0.56881620898338,1.40630941830415,1.03282543648491,3.68e-05,5301405,135938.224531117,0,0,0,0,0,-278.458607727914,517562010
1,0.142857142857143,0.1,-7.47271164294686,0.82815765625,9.03693947115121,0.596957632883181,1.20385401239888,1.13668162296484,3.68e-05,5301405,135934.702246783,0,0,0,0,0,-280.659829011249,805759127
1,0.142857142857143,0.1,-7.09160630332401,0.82815765625,6.76287319911358,0.548965885621995,1.35956667623353,1.12787963741644,3.68e-05,5301405,135939.282685064,0,0,0,0,0,-266.383685376922,326259764
1,0.142857142857143,0.1,-7.53556368924594,0.82815765625,7.46841967957385,0.540472097130688,1.27563771616539,1.03471735987492,3.68e-05,5301405,135936.155889526,0,0,0,0,0,-278.031950561458,103954957
1,0.142857142857143,0.1,-7.07717161735586,0.82815765625,8.56149762060976,0.527101243420401,1.16723639248605,0.738561192247952,3.68e-05,5301405,135937.531803003,0,0,0,0,0,-274.041654811418,282816354
1,0.142857142857143,0.1,-3.04478925928323,0.32825265625,0.902231537324424,0.253760501313372,-0.397196434793705,-3.08032905759743,3.68e-05,5301405,285937.71085757,0,0,0,0,0,-180.014193602027,180251150
1,0.142857142857143,0.1,-2.95846559266985,0.32825265625,0.693250065850143,0.0630684532590348,-0.307401775211294,-2.94179795984341,3.68e-05,5301405,285935.290602744,0,0,0,0,0,-171.935722779604,103250751
1,0.142857142857143,0.1,1.94956471271825,0.32825265625,54.1109510408755,0.430232156564309,-2.44192304055929,-4.36633251490963,3.68e-05,5301405,285938.535186582,0,0,0,0,0,-392.021711235604,867743481
1,0.142857142857143,0.1,-0.525856914069217,0.32825265625,10.7365357929215,0.463043394345328,-2.37127406835493,-4.12645498269959,3.68e-05,5301405,285938.461606493,0,0,0,0,0,-275.288692282768,1018927594
1,0.142857142857143,0.1,-0.579102248191362,0.32825265625,5.87024655048538,0.445702820890101,-2.58316093915694,-3.78516386589831,3.68e-05,5301405,285937.018633059,0,0,0,0,0,-255.38907327678,245130193
1,0.142857142857143,0.1,-12.0429933018555,0.70318140625,98.9874681994604,0.28160123217354,1.35453353268307,-6.69870051149099,3.68e-05,5301405,98437.389296202,0,0,0,0,0,-400.638604805602,287563392
1,0.142857142857143,0.1,-11.3451178558104,0.70318140625,6.37266858886465,0.558257881120056,4.34007806506607,-5.69612209042542,3.68e-05,5301405,98436.7300947711,0,0,0,0,0,-272.555588144107,391434683
1,0.142857142857143,0.1,-12.5147417313718,0.70318140625,18.7894393284359,0.536540345139605,2.86353358675596,-6.91829966004999,3.68e-05,5301405,98437.7632963989,0,0,0,0,0,-336.030828131364,939933523
1,0.142857142857143,0.1,-12.7442146109102,0.70318140625,116.780301413422,0.307890057352306,1.53439630511739,-7.96364166982544,3.68e-05,5301405,98436.7296600236,0,0,0,0,0,-411.12834094235,496713422
1,0.142857142857143,0.1,-13.0039804111453,0.70318140625,110.496031359972,0.253991332481774,2.04226185313522,-7.38275342441232,3.68000000000001e-05,5301405,98438.3348336212,0,0,0,0,0,-404.033902688534,1018804957
1,0.142857142857143,0.1,2.30061134509083,0.20327640625,1.52738699294874,0.57161079122891,4.802191567718,2.40621523875214,3.68e-05,5301405,248437.27866471,0,0,0,0,0,-197.181074155398,41363039
1,0.142857142857143,0.1,-2.59115177800903,0.20327640625,1.45017240866234,0.694851792245458,1.03570351915904,-0.620524534275566,3.68e-05,5301405,248437.946287428,0,0,0,0,0,-199.612841730205,942009050
1,0.142857142857143,0.1,-2.53373006881755,0.20327640625,1.43494400611752,0.703739335477866,1.42920111309193,-0.600509174504208,3.68000000000001e-05,5301405,248436.606037351,0,0,0,0,0,-200.286651401664,970892929
1,0.142857142857143,0.1,-2.58855859807321,0.20327640625,1.42224643090215,0.568666158876435,1.04581755108209,-0.629011015223346,3.68e-05,5301405,248440.164212276,0,0,0,0,0,-199.275929654628,654538096
1,0.142857142857143,0.1,-2.41401743727845,0.20327640625,1.42860321741037,0.80805910470244,1.99177391130372,-0.600226644360426,3.68e-05,5301405,248438.193552795,0,0,0,0,0,-201.810617039058,709926354
1,0.142857142857143,0.1,2.51280574354379,0.95313390625,1.58005569937046,0.722053160566173,4.87698990520649,1.79936352568168,3.68e-05,5301405,23437.1440563153,0,0,0,0,0,-199.455962873821,497275506
1,0.142857142857143,0.1,6.77480926127482,0.95313390625,2.05510559118187,0.796197711741048,7.32217757395166,1.68662565207197,3.68000000000001e-05,5301405,23438.1465858014,0,0,0,0,0,-209.700569277501,158374726
1,0.142857142857143,0.1,2.92770234790523,0.95313390625,2.12462175897155,0.733706806923071,5.20253086458911,0.590124824104122,3.68e-05,5301405,23439.6307620919,0,0,0,0,0,-213.286846230323,87951789
1,0.142857142857143,0.1,5.32256615658876,0.95313390625,5.67831757989067,0.770027102207099,5.42129708822707,-1.23265880347953,3.68e-05,5301405,23437.5483254139,0,0,0,0,0,-278.625778220207,362773550
1,0.142857142857143,0.1,6.64841199645265,0.95313390625,2.07956456175585,0.73993418734181,7.22121393557221,1.24447328598434,3.68e-05,5301405,23438.2497834302,0,0,0,0,0,-211.612313558452,446597335
1,0.142857142857143,0.1,-6.64931080750879,0.45322890625,4.20795693612767,0.389221751394613,-0.689651075287389,0.531061094660753,3.68e-05,5301405,173438.852877303,0,0,0,0,0,-251.118940954357,507732786
1,0.142857142857143,0.1,-5.17376565693338,0.45322890625,2.06141431657078,0.332818652287526,-0.18359558765555,-0.482580413048663,3.68e-05,5301405,173437.582185636,0,0,0,0,0,-211.627337250716,1044871528
1,0.142857142857143,0.1,-4.1580129282974,0.45322890625,1.39010611100693,0.235801635273274,-0.222562406078106,-1.50344462404159,3.67999999999999e-05,5301405,173437.911053628,0,0,0,0,0,-194.129494069456,560793583
1,0.142857142857143,0.1,-2.92695270169787,0.45322890625,0.600021302317038,0.0421399463838377,-0.366456683369835,-2.78965651792169,3.68e-05,5301405,173436.172931943,0,0,0,0,0,-168.292660462745,823358447
1,0.142857142857143,0.1,-4.18402867655184,0.45322890625,1.37236389699155,0.235503746431894,-0.190144211512745,-1.51414060520489,3.68e-05,5301405,173437.969167738,0,0,0,0,0,-194.085594456581,766488067
1,0.142857142857143,0.1,-2.80151371956649,0.14078828125,0.571026450099197,0.0281718063656312,-0.522941640672134,-2.59644441676259,3.67999999999999e-05,5301405,154687.901029758,0,0,0,0,0,-166.025189171794,442737554
1,0.142857142857143,0.1,-2.80395715679688,0.14078828125,0.566953339237784,0.0281505302831123,-0.517399183579436,-2.59973361173613,3.68e-05,5301405,154687.920005571,0,0,0,0,0,-166.008479890063,101913464
1,0.142857142857143,0.1,-2.80479879881017,0.14078828125,0.5748656561293,0.0281310160383327,-0.520060954502285,-2.59162277554869,3.68e-05,5301405,154686.977060386,0,0,0,0,0,-166.03000562105,68532614
1,0.142857142857143,0.1,-2.80390651296033,0.14078828125,0.572130486801509,0.0284269278142188,-0.517706324258099,-2.60148479202943,3.68e-05,5301405,154688.372920974,0,0,0,0,0,-166.027500641947,33749252
1,0.142857142857143,0.1,-2.80361157813571,0.14078828125,0.570236135067904,0.0281261932644095,-0.516533309928265,-2.59538433944595,3.68e-05,5301405,154688.696384932,0,0,0,0,0,-166.008348688298,588947771
1,0.142857142857143,0.1,-9.73075792285673,0.64069328125,10.1078017427323,0.848156754475528,2.17783554638544,3.02417538312973,3.68e-05,5301405,4689.95459187161,0,0,0,0,0,-288.639754812757,87823855
1,0.142857142857143,0.1,-9.22562470702372,0.64069328125,9.9829720939876,0.885160490121392,1.96387083143363,2.86044550892936,3.68e-05,5301405,4687.74644803685,0,0,0,0,0,-287.914790034583,741589193
1,0.142857142857143,0.1,-9.86889941631533,0.64069328125,10.0936176248262,0.858613634714325,2.28667263909277,3.07313688194973,3.68e-05,5301405,4689.26303069857,0,0,0,0,0,-288.812165557813,306237503
1,0.142857142857143,0.1,-9.8634576323145,0.64069328125,10.0622543343195,0.810125698398131,2.18345542585818,3.08029879791166,3.68e-05,5301405,4687.92515742108,0,0,0,0,0,-288.840558786864,908056353
1,0.142857142857143,0.1,-9.61523358720619,0.64069328125,10.0543523983979,0.903087511444069,1.92898764950296,2.91857433942523,3.68e-05,5301405,4688.22827269711,0,0,0,0,0,-288.19337132331,217808538
1,0.142857142857143,0.1,-16.6876750902769,0.39074078125,100.715150594963,0.0332435181013266,3.66631716417695,-8.0529650331191,3.67999999999999e-05,5301405,229686.949499322,0,0,0,0,0,-405.46362575117,914832776
1,0.142857142857143,0.1,-16.8640151653702,0.39074078125,101.524504435922,0.0396804968594352,3.60821092827424,-7.03992945029853,3.68e-05,5301405,229686.00089396,0,0,0,0,0,-402.094888534779,498946455
1,0.142857142857143,0.1,-16.3004005333257,0.39074078125,118.432428399699,0.0403201987701542,2.24119898743622,-6.45494366057035,3.68e-05,5301405,229689.20779465,0,0,0,0,0,-411.662934426028,61674930
1,0.142857142857143,0.1,-16.2920217726908,0.39074078125,11.7494941218892,0.227376751660738,4.68395931552239,-5.35342893179655,3.68e-05,5301405,229686.743129145,0,0,0,0,0,-307.009840287291,825520805
1,0.142857142857143,0.1,-17.1959652335419,0.39074078125,90.2482119819878,0.0241451613994575,3.80188763255302,-5.6930721727201,3.68e-05,5301405,229687.466288469,0,0,0,0,0,-389.659545299995,107258252
1,0.142857142857143,0.1,-2.83950789273414,0.89064578125,0.52051599848523,0.0372764327177493,-0.580516858034461,-2.57113723683108,3.68e-05,5301405,79688.8238230084,0,0,0,0,0,-169.007431577396,656001341
1,0.142857142857143,0.1,-2.83543540139401,0.89064578125,0.507943200979682,0.0359215969282823,-0.582574599826159,-2.53828251838542,3.67999999999999e-05,5301405,79687.7109107098,0,0,0,0,0,-168.996952116798,881182154
1,0.142857142857143,0.1,-2.84003983394077,0.89064578125,0.518534526690568,0.03623545545826,-0.582718224913343,-2.54443650117906,3.68000000000001e-05,5301405,79687.4401581722,0,0,0,0,0,-168.99046519542,987636544
1,0.142857142857143,0.1,-2.82587805120289,0.89064578125,0.517518601125012,0.0356131033910789,-0.587645635917262,-2.53657386791288,3.68e-05,5301405,79688.7950387408,0,0,0,0,0,-169.023155582732,266804503
1,0.142857142857143,0.1,-2.84095878482357,0.89064578125,0.507740272040077,0.035679511685864,-0.588703014808225,-2.53497858218807,3.68000000000001e-05,5301405,79689.5288652597,0,0,0,0,0,-168.961105129093,1062613736
1,0.142857142857143,0.1,-6.95387822523965,0.01581203125,13.7779834605209,0.297617390230987,2.74913292808011,4.91904347919913,3.68e-05,5301405,267188.211665352,0,0,0,0,0,-332.594802046595,742809035
1,0.142857142857143,0.1,-7.26846875060009,0.01581203125,14.5745347244836,0.383217653732147,3.2547135273491,5.430377638323,3.68e-05,5301405,267187.465816686,0,0,0,0,0,-318.754786189563,404411509
1,0.142857142857143,0.1,-7.8787037950468,0.01581203125,13.477427457286,0.683767739477757,2.81102219972251,6.35416369841831,3.68e-05,5301405,267186.110401944,0,0,0,0,0,-314.996069503227,1004033450
1,0.142857142857143,0.1,-6.81285390775483,0.01581203125,12.0817854252279,0.427546578448724,3.5306202661482,5.69072935316285,3.68e-05,5301405,267187.127252609,0,0,0,0,0,-312.957897455112,582807072
1,0.142857142857143,0.1,-8.19774352954851,0.01581203125,18.1202956678455,0.354616295937471,2.02890412341711,5.08805385099436,3.67999999999999e-05,5301405,267189.886690098,0,0,0,0,0,-339.204638338345,580728919
1,0.142857142857143,0.1,5.7342056566175,0.51571703125,1.89829917368365,0.295377774488074,8.26084002523452,4.6794338541606,3.67999999999999e-05,5301405,117188.26769341,0,0,0,0,0,-205.881925593707,168534495
