"b_3","gamma","mu_EI","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-18,0.142857142857143,0.1,0.60944921875,119.380646572898,0.0789455493467972,3.74468754115184,-4.3490767098916,3.68e-05,5301405,14063.0967911752,60936.1625632768,0,0,0,0,0,-417.110586749376,811780166
-18,0.142857142857143,0.1,0.60944921875,118.037125281957,0.162010422055315,4.90613667291264,-4.53901470229261,3.68e-05,5301405,14062.9018862098,60939.0040948627,0,0,0,0,0,-417.090962470045,601649607
-18,0.142857142857143,0.1,0.60944921875,119.034126851968,0.0540683492365575,3.76345294438161,-4.50932160028555,3.68e-05,5301405,14064.1046848499,60940.2615645036,0,0,0,0,0,-404.112569831553,35912370
-18,0.142857142857143,0.1,0.60944921875,119.672498946352,0.0736911184570955,4.67129901502178,-5.51951698653531,3.68e-05,5301405,14062.1596724718,60937.6011480544,0,0,0,0,0,-417.124817245953,968507828
-18,0.142857142857143,0.1,0.60944921875,112.655472521512,0.115177054189505,4.27411814262362,-4.31785774907366,3.68000000000001e-05,5301405,14063.5464707688,60940.3384605489,0,0,0,0,0,-417.424336205008,781112231
-18,0.142857142857143,0.1,0.10954421875,13.2227364631948,0.271070325906677,-0.862080244800965,3.24453225085287,3.68e-05,5301405,164064.161102105,210935.80399148,0,0,0,0,0,-324.977959103641,794201493
-18,0.142857142857143,0.1,0.10954421875,14.2705649449766,0.21427571011124,-1.21007703749611,2.76971736956361,3.68e-05,5301405,164062.634066054,210937.231162617,0,0,0,0,0,-334.345126560626,334366291
-18,0.142857142857143,0.1,0.10954421875,14.7022787509142,0.195992391556412,-1.56095882842665,3.36904726410079,3.68e-05,5301405,164064.861652568,210935.994656143,0,0,0,0,0,-334.224538944763,112161487
-18,0.142857142857143,0.1,0.10954421875,13.8379819508883,0.35938470605587,-1.37797027678877,3.69468450192089,3.68e-05,5301405,164063.733658212,210938.122899786,0,0,0,0,0,-323.73171927463,99107008
-18,0.142857142857143,0.1,0.10954421875,34.3785583231293,0.214016882436089,-1.8739358364741,2.45171603177117,3.68e-05,5301405,164062.383483938,210936.894397519,0,0,0,0,0,-350.704817080071,525512022
-18,0.142857142857143,0.1,0.35949671875,11.388736387107,0.808319101592817,6.18224683440626,0.00640235807417997,3.68e-05,5301405,239063.502597185,135939.007041683,0,0,0,0,0,-300.716728512434,221460350
-18,0.142857142857143,0.1,0.35949671875,10.7171117183964,0.743706507987152,6.02206134800868,-0.543606214745984,3.68000000000001e-05,5301405,239063.204318902,135937.95803679,0,0,0,0,0,-301.334769291111,417038088
-18,0.142857142857143,0.1,0.35949671875,10.4209467576073,0.88283795801541,6.24598595380535,-0.908758697452067,3.68e-05,5301405,239065.085038811,135936.609878363,0,0,0,0,0,-300.902424508646,975574053
-18,0.142857142857143,0.1,0.35949671875,11.2203327743044,0.686164878125055,5.61078417322008,-0.965598131534555,3.68000000000001e-05,5301405,239062.522839658,135936.770921589,0,0,0,0,0,-301.911869942101,280801731
-18,0.142857142857143,0.1,0.35949671875,10.9499384898765,0.776351372872215,5.96042844600426,1.93073072417547,3.68e-05,5301405,239065.300281118,135938.506849062,0,0,0,0,0,-298.498359204396,103813834
-18,0.142857142857143,0.1,0.85940171875,120.524254535164,0.0360014369039853,1.2788255855797,-8.08245631404347,3.68e-05,5301405,89063.3839534395,285937.895901776,0,0,0,0,0,-416.993095588346,471871806
-18,0.142857142857143,0.1,0.85940171875,119.941118647495,0.0264691544811887,0.345926000356529,-7.59884435256631,3.67999999999999e-05,5301405,89062.3239784685,285937.531398933,0,0,0,0,0,-417.026659642287,419546594
-18,0.142857142857143,0.1,0.85940171875,120.146842022575,0.0298460153721339,0.831182515562614,-8.26515066925447,3.68e-05,5301405,89063.5647975919,285937.632318868,0,0,0,0,0,-417.013413892177,201514283
-18,0.142857142857143,0.1,0.85940171875,120.673752034745,0.0583332682356988,0.527806626767871,-7.62196892498512,3.68e-05,5301405,89063.4557694228,285937.693018284,0,0,0,0,0,-416.959136296596,14431627
-18,0.142857142857143,0.1,0.85940171875,120.595089971112,0.0264267420666123,1.07310443418384,-7.92791388359956,3.67999999999999e-05,5301405,89063.618101707,285937.33288556,0,0,0,0,0,-417.017056484932,921375208
-18,0.142857142857143,0.1,0.23452046875,118.430626839665,0.185925253427931,-0.38763719312485,-3.2716206319755,3.68e-05,5301405,276563.178619448,98439.7779597905,0,0,0,0,0,-416.900002303054,556127560
-18,0.142857142857143,0.1,0.23452046875,113.671727657012,0.102286814065616,-0.16669586286402,-2.60438164741141,3.68e-05,5301405,276562.848015839,98437.5299014939,0,0,0,0,0,-417.140999470954,95314776
-18,0.142857142857143,0.1,0.23452046875,119.938924316603,0.0592593067985589,-0.343663005833717,-3.17465168079519,3.68e-05,5301405,276561.215296623,98441.2251085884,0,0,0,0,0,-416.902197416404,1055515927
-18,0.142857142857143,0.1,0.23452046875,114.528739215644,0.132952136303027,-0.105808781415923,-3.34517645917607,3.68e-05,5301405,276564.352060681,98437.9478632858,0,0,0,0,0,-414.717562456538,337722302
-18,0.142857142857143,0.1,0.23452046875,120.255013989735,0.169254764183714,-0.793462620702018,-3.06356851033365,3.68000000000001e-05,5301405,276561.648601109,98437.1279652455,0,0,0,0,0,-416.86578824806,42476164
-18,0.142857142857143,0.1,0.73442546875,10.8366428273325,0.797971728124086,4.9408694273604,2.6082734337053,3.67999999999999e-05,5301405,126564.13059414,248436.027726975,0,0,0,0,0,-297.963851803851,846693889
-18,0.142857142857143,0.1,0.73442546875,10.7674513779628,0.790906746217758,4.85461625063455,2.9374252380641,3.68e-05,5301405,126564.486214388,248436.279625666,0,0,0,0,0,-297.996524492446,472291925
-18,0.142857142857143,0.1,0.73442546875,10.8976766468125,0.788441123244894,5.11299414869679,2.76628918454163,3.67999999999999e-05,5301405,126563.242667373,248437.500388481,0,0,0,0,0,-297.981032248647,190864638
-18,0.142857142857143,0.1,0.73442546875,10.7666055213068,0.822629907836211,4.68280178376815,2.630651094631,3.68e-05,5301405,126564.74629333,248438.750350912,0,0,0,0,0,-297.895080116298,317077633
