"rho","gamma","mu_EI","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.142857142857143,0.1,-2.91409908047009,0.57820515625,0.557022371127404,-0.57488191703968,-2.98091723789995,3.68e-05,5301405,14064.9037663472,60939.6779957182,0,0,0,0,0,-172.150191175895,289098670
0.15,0.142857142857143,0.1,-2.93353197481211,0.57820515625,0.550345009469154,-0.570638673966618,-2.98791446160436,3.68e-05,5301405,14062.5079581327,60935.7095107831,0,0,0,0,0,-172.230664195096,358092938
0.15,0.142857142857143,0.1,-2.89366163868933,0.57820515625,0.58729523954048,-0.581438860301711,-2.99412170518183,3.68e-05,5301405,14063.2085373853,60938.3305873805,0,0,0,0,0,-172.17781484672,320795233
0.15,0.142857142857143,0.1,-2.90930699989831,0.57820515625,0.552597486931577,-0.577992075646089,-2.98395424702947,3.68e-05,5301405,14064.434582108,60937.7760636094,0,0,0,0,0,-172.139505487872,894999341
0.15,0.142857142857143,0.1,-2.90940490263924,0.57820515625,0.592445231221191,-0.57837550047384,-2.98726649462912,3.68e-05,5301405,14064.5465668569,60937.1059658838,0,0,0,0,0,-172.194349837011,916884003
0.15,0.142857142857143,0.1,-14.2182701462702,0.07830015625,12.0820056415407,0.30777924963052,2.34659804914816,3.68e-05,5301405,164061.466895555,210937.703569239,0,0,0,0,0,-317.47460821447,884086432
0.15,0.142857142857143,0.1,-14.8133694534969,0.07830015625,17.9328013245659,-1.2241960543924,3.49581686929709,3.68000000000001e-05,5301405,164062.819930764,210936.907162285,0,0,0,0,0,-333.632892976743,1009748445
0.15,0.142857142857143,0.1,-14.2712203483612,0.07830015625,13.5255251528168,-0.289410575920746,3.33146328852296,3.68e-05,5301405,164061.733109817,210937.222980465,0,0,0,0,0,-329.367432135597,506388465
0.15,0.142857142857143,0.1,-14.671286444207,0.07830015625,14.4319251168115,-0.383872330365962,3.22973275767658,3.68000000000001e-05,5301405,164061.96456975,210937.942421812,0,0,0,0,0,-328.306479701805,297936820
0.15,0.142857142857143,0.1,-16.4385747526341,0.07830015625,15.4966298151962,-0.596230360717905,3.82009200585551,3.67999999999999e-05,5301405,164064.720409044,210938.786328337,0,0,0,0,0,-330.513175975064,844895700
0.15,0.142857142857143,0.1,-7.28192376405943,0.82815765625,5.84990778958504,1.28434509489549,-1.17778837985334,3.68e-05,5301405,239064.866084663,135940.981201459,0,0,0,0,0,-258.231392318942,566504443
0.15,0.142857142857143,0.1,-7.33529030429175,0.82815765625,7.49051424735976,1.5822595269266,-0.794435105579309,3.68e-05,5301405,239064.737153751,135937.172779018,0,0,0,0,0,-270.897131782096,341797213
0.15,0.142857142857143,0.1,-8.31186777007033,0.82815765625,4.20126148733583,1.93548350504301,-1.94898956601515,3.68e-05,5301405,239063.998669358,135938.873167139,0,0,0,0,0,-261.875316371246,349614615
0.15,0.142857142857143,0.1,-7.27045758843403,0.82815765625,3.01537708022817,1.79905901299579,-1.9130843541769,3.68e-05,5301405,239063.772388448,135937.959609134,0,0,0,0,0,-247.395915190926,79052268
0.15,0.142857142857143,0.1,-6.84991812024461,0.82815765625,3.31078342296652,1.62508274731527,-2.09913261870252,3.68e-05,5301405,239060.903026483,135937.24356384,0,0,0,0,0,-241.669560754396,86752834
0.15,0.142857142857143,0.1,-2.39905278074509,0.32825265625,2.84042942136172,0.888782344183258,-5.58730008413166,3.68e-05,5301405,89063.6152497318,285938.881272534,0,0,0,0,0,-224.432532673097,515363907
0.15,0.142857142857143,0.1,-2.80312510128657,0.32825265625,0.910466456363562,-0.105734540784122,-3.46814283610176,3.68e-05,5301405,89061.9380046079,285938.778643122,0,0,0,0,0,-178.584114031766,233037880
0.15,0.142857142857143,0.1,-2.22121257399206,0.32825265625,3.38062968484465,0.904169669733982,-6.07300752452904,3.67999999999999e-05,5301405,89064.2542835062,285935.999444363,0,0,0,0,0,-234.908590392532,735517979
0.15,0.142857142857143,0.1,-2.28727815514696,0.32825265625,2.51676750381223,0.682578047299474,-5.46146116209553,3.68e-05,5301405,89062.6535862867,285937.892359726,0,0,0,0,0,-220.880260257332,361981056
0.15,0.142857142857143,0.1,-2.00839205067099,0.32825265625,3.91465823777984,1.1836583829465,-6.92210609930484,3.68e-05,5301405,89062.8060065867,285938.639381092,0,0,0,0,0,-250.992231178941,18812901
0.15,0.142857142857143,0.1,-11.0176997595113,0.70318140625,6.66616488660491,2.36758116163537,-2.20545885495857,3.68e-05,5301405,276563.822848384,98436.1214447762,0,0,0,0,0,-284.849701106183,132379628
0.15,0.142857142857143,0.1,-12.0089073573631,0.70318140625,10.9177235448934,2.24604468883099,-2.74809202547313,3.68e-05,5301405,276563.359812948,98437.0819616725,0,0,0,0,0,-302.680530504917,841612049
0.15,0.142857142857143,0.1,-11.0374984329529,0.70318140625,4.68327296946348,1.8274442990198,-1.22797728795521,3.68e-05,5301405,276560.010772675,98437.4558553091,0,0,0,0,0,-289.299836243831,808338861
