"sigma_M","gamma","mu_EI","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.142857142857143,0.1,-5.50241590486362,0.57820515625,0.0279825058161386,5.73792852614778,-1.91704287155083,3.67999999999999e-05,5301405,14063.5824057294,60938.4231820032,0,0,0,0,0,-896.47003294507,737830329
1e-04,0.142857142857143,0.1,-5.34354117102583,0.57820515625,0.0299945589800497,5.60976062440804,-1.6456790996277,3.67999999999999e-05,5301405,14062.7147392537,60938.2683257996,0,0,0,0,0,-889.960141811567,352409759
1e-04,0.142857142857143,0.1,-4.33031900966177,0.57820515625,0.0241866715424449,4.09234607696981,-1.87472319562949,3.67999999999999e-05,5301405,14063.20696414,60937.5375109552,0,0,0,0,0,-828.276508476019,935238657
1e-04,0.142857142857143,0.1,-4.40374512815411,0.57820515625,0.0289489635480125,4.43745852069407,-2.82353086056648,3.67999999999999e-05,5301405,14061.2623427744,60939.0984951669,0,0,0,0,0,-929.476656316244,230334625
1e-04,0.142857142857143,0.1,-4.2141522006552,0.57820515625,0.0278597292615383,4.66212796496463,-3.60776715901325,3.67999999999999e-05,5301405,14064.2123592069,60938.8485813995,0,0,0,0,0,-950.779821821839,149846630
1e-04,0.142857142857143,0.1,-14.4768627486674,0.07830015625,0.168697213296135,-0.895932818420321,1.68412840976222,3.67999999999999e-05,5301405,164061.991824382,210938.334637903,0,0,0,0,0,-920.764621407513,716961752
1e-04,0.142857142857143,0.1,-15.3141515217659,0.07830015625,0.135441082493513,-0.0166948683901563,2.00392334889541,3.67999999999999e-05,5301405,164062.947278232,210937.174786332,0,0,0,0,0,-902.727245461615,713969986
1e-04,0.142857142857143,0.1,-15.3952480543107,0.07830015625,0.13097217972795,-1.27147744772643,2.34135454970718,3.67999999999999e-05,5301405,164063.941810712,210937.172380652,0,0,0,0,0,-914.223520115084,653887025
1e-04,0.142857142857143,0.1,-16.3142218781493,0.07830015625,0.139543613495025,-1.07875245285911,2.61785814252679,3.68e-05,5301405,164063.395185744,210936.262579226,0,0,0,0,0,-929.914217424806,828524414
1e-04,0.142857142857143,0.1,-14.7854520490181,0.07830015625,0.0607025941648541,-1.39063008476292,2.76294161276659,3.68e-05,5301405,164062.217973246,210937.052653593,0,0,0,0,0,-870.730876633688,630027986
1e-04,0.142857142857143,0.1,-7.13199078097143,0.82815765625,0.0588304303699625,8.64534419752579,-2.65661299195894,3.67999999999999e-05,5301405,239064.552611775,135937.137032543,0,0,0,0,0,-927.450514605114,572888544
1e-04,0.142857142857143,0.1,-6.03769562183518,0.82815765625,0.50905380553087,6.0052137880114,-4.25339712702087,3.67999999999999e-05,5301405,239061.147860794,135937.570748372,0,0,0,0,0,-920.340009824259,771248081
