"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,-2.98696817675214,0.644646346058488,0.329555393658468,-0.393568349702465,-3.18230188674698,3.68e-05,5301405,14064.2982660507,60938.6188022379,0,0,0,0,0,-173.935137487028,24134309
0.00019,0.142857142857143,0.1,-3.02624496564356,0.653973928420205,0.292878534102926,-0.35860045066338,-3.16394295283018,3.68e-05,5301405,14063.8685644705,60938.5285032017,0,0,0,0,0,-173.962114163631,82629896
0.00019,0.142857142857143,0.1,-3.01713182141203,0.660677108188652,0.351371393992347,-0.41920338812035,-3.12762716343828,3.68e-05,5301405,14060.2122703486,60937.8327342996,0,0,0,0,0,-173.910049196108,1019016751
0.00019,0.142857142857143,0.1,-2.96477179361413,0.661873709174863,0.313940100040336,-0.434801177328501,-3.15791381545086,3.68e-05,5301405,14062.0114734044,60940.2585449105,0,0,0,0,0,-174.024374936319,29131948
0.00019,0.142857142857143,0.1,-3.05951097248458,0.663623623063475,0.32147793885093,-0.393790575435545,-3.11236116507471,3.68e-05,5301405,14063.417520852,60938.0759982345,0,0,0,0,0,-174.191677941697,917192723
0.00019,0.142857142857143,0.1,-15.0285733409879,3.58714651085879,0.67669690177667,-1.08124361689195,3.25741691200475,3.68e-05,5301405,164062.873157167,210936.609289157,0,0,0,0,0,-325.387571550506,19235730
0.00019,0.142857142857143,0.1,-14.7239278297606,17.5769683708106,0.119367647018953,-1.12848360469815,2.24518203791875,3.68e-05,5301405,164063.672643146,210938.993170206,0,0,0,0,0,-334.357634084356,105368090
0.00019,0.142857142857143,0.1,-15.003269834844,8.21911227023692,0.39409374647545,-0.839313212090206,2.37447976075488,3.68e-05,5301405,164063.195449693,210938.464884413,0,0,0,0,0,-312.223359870927,771513812
0.00019,0.142857142857143,0.1,-14.5735461114495,12.2819796867474,0.39790216202515,-0.147340229452027,2.51670103243733,3.68e-05,5301405,164063.36438063,210936.514610669,0,0,0,0,0,-310.124315776698,485008687
0.00019,0.142857142857143,0.1,-15.1970507846984,11.4907478446167,0.463799048687676,0.782362072874098,2.91876563590842,3.68e-05,5301405,164062.968787448,210939.472919046,0,0,0,0,0,-305.346530041618,772144401
0.00019,0.142857142857143,0.1,-7.85262604010785,9.79418652297065,0.679444325350559,1.9135355504479,-0.4363629610183,3.68e-05,5301405,239065.229484838,135937.034439048,0,0,0,0,0,-286.528576483034,119960767
