"","time","sim_data_median","sim_data_low_Q","sim_data_high_Q","combo_num"
"1",151,4520,1313.575,11900.15,1
"2",181,1884.5,493.675,4414.225,1
"3",212,851.5,216.7,2507.9,1
"4",243,351,102.2,996.199999999999,1
"5",273,156.5,45.7,382.8,1
"6",304,128,36.375,346.35,1
"7",334,201.5,80.375,608.4,1
"8",365,629,77.75,1986.45,1
"9",396,2537,417.9,8047.94999999999,1
"10",424,6292.5,1792.425,15628.725,1
"11",455,11930,2288.8,26612.125,1
"12",485,8623,2893.875,22919.725,1
"13",516,3200.5,1116.35,9354.74999999999,1
"14",546,1059.5,255.475,3017.39999999999,1
"15",577,309,92.85,731.35,1
"16",608,103,24.475,253.2,1
"17",638,31,5.95,92.525,1
"18",669,21.5,1,75.1499999999999,1
"19",699,15.5,1.475,51.625,1
"20",730,21,3,71.525,1
"21",761,37,5.475,193.75,1
"22",790,46,5,374.75,1
"23",821,60.5,5.95,458.049999999999,1
"24",851,27.5,2,164.7,1
"25",882,14.5,0.475,70.3499999999999,1
"26",912,3,0,33.1999999999999,1
"27",943,1,0,14,1
"28",974,0,0,3,1
"29",1004,0,0,2,1
"30",1035,0,0,1,1
"31",1065,0,0,1.52499999999999,1
"32",1096,0,0,2,1
"33",1127,0,0,7.52499999999999,1
"34",1155,0,0,6.57499999999997,1
"35",1186,0,0,10.1,1
"36",1216,0,0,12.05,1
"37",1247,0,0,2.57499999999997,1
"38",1277,0,0,1,1
"39",1308,0,0,0.524999999999991,1
"40",1339,0,0,0,1
"41",1369,0,0,0,1
"42",1400,0,0,0,1
"43",1430,0,0,0,1
"44",151,5061.5,1137,13059.8,2
"45",181,1752.5,352.025,5114.9,2
"46",212,954,195.05,2202.675,2
"47",243,296.5,52.075,804.599999999999,2
"48",273,182,45.75,491.725,2
"49",304,154,51.375,415.525,2
"50",334,200.5,66.9,493.525,2
"51",365,578,147.75,1832.575,2
"52",396,2443.5,612.025,7438.82499999999,2
"53",424,7547.5,2136.65,22601.025,2
"54",455,11331.5,2666.15,30439.475,2
"55",485,7193.5,1773.675,19158.175,2
"56",516,3013.5,959.1,7603.725,2
"57",546,947,183.475,2310.9,2
"58",577,259.5,50.9,704.2,2
"59",608,82,15.325,186.525,2
"60",638,27,6,91.2999999999999,2
"61",669,17,2.95,47.525,2
"62",699,14.5,2.475,42.525,2
"63",730,23.5,3.425,85.1999999999999,2
"64",761,42.5,5,220.999999999999,2
"65",790,50.5,6.475,455.799999999999,2
"66",821,57,5.95,685.799999999997,2
"67",851,29.5,1.475,313.499999999999,2
"68",882,11,1,146.525,2
"69",912,4,0,59.4499999999998,2
"70",943,1,0,12,2
"71",974,0,0,5.52499999999999,2
"72",1004,0,0,2.52499999999999,2
"73",1035,0,0,2,2
"74",1065,0,0,1,2
"75",1096,0,0,3.52499999999999,2
"76",1127,0,0,5.52499999999999,2
"77",1155,0,0,11.6749999999999,2
"78",1186,0,0,26.1999999999999,2
"79",1216,0,0,15.1499999999999,2
"80",1247,0,0,4.52499999999999,2
"81",1277,0,0,4.04999999999998,2
"82",1308,0,0,1,2
"83",1339,0,0,0,2
"84",1369,0,0,0,2
"85",1400,0,0,0,2
"86",1430,0,0,0,2
"87",151,4822,1532.3,13600.375,3
"88",181,2271,496.275,6134.67499999999,3
"89",212,842.5,261.1,2015.2,3
"90",243,338.5,112.175,796.15,3
"91",273,161,34.275,406.3,3
"92",304,117,35,316.625,3
"93",334,201,36.75,540.1,3
"94",365,598.5,103.5,2118.975,3
"95",396,2648,457.25,8094.32499999999,3
"96",424,7649,1341.425,16582.775,3
"97",455,11037,2441.975,28954.175,3
"98",485,7370,2250.075,21006.125,3
"99",516,3147.5,1180.825,6991.9,3
"100",546,947,255.875,2371.57499999999,3
"101",577,280.5,70.75,709.775,3
"102",608,88.5,28,219.85,3
"103",638,32,5.425,89.1999999999999,3
