"I_0","gamma","b_3","sigma_P","sigma_M","rho","b_1","b_2","mu_H","N_0","R_0","C_0","r","g","epsilon","LL","seed"
1,0.0588235294117647,-12.5522336461116,0.60944921875,131.818307541399,0.106073966761018,4.02226341934608,-3.33466751800984,3.68e-05,5301405,0,0,0,0,0,-412.510222254353,509824277
1,0.0588235294117647,-11.4432990201036,0.60944921875,131.204262869739,0.0302463160402221,2.85128989914408,-4.23425061114688,3.68e-05,5301405,0,0,0,0,0,-413.81116792712,54638834
1,0.0588235294117647,-11.3054089216022,0.60944921875,126.861985265328,0.125428196365601,3.33489993165051,-2.89490731309058,3.68e-05,5301405,0,0,0,0,0,-409.457474572791,114987299
1,0.0588235294117647,-11.4494676137862,0.60944921875,134.706321434556,0.0300634453714974,3.21050687942187,-3.97667659382802,3.68e-05,5301405,0,0,0,0,0,-422.991899200086,942782357
1,0.0588235294117647,-11.538746491218,0.60944921875,133.878150301258,0.0467421329231595,3.90416139210711,-5.04200203936025,3.68e-05,5301405,0,0,0,0,0,-423.039221518002,768496271
1,0.0588235294117647,0.785339390950773,0.10954421875,1.50949449931378,0.523622373618279,3.16918385704899,3.90207182285048,3.67999999999999e-05,5301405,0,0,0,0,0,-196.362680722506,66058640
1,0.0588235294117647,0.766168037172987,0.10954421875,1.49642470702478,0.481875082910848,3.27535458672669,3.65111765446103,3.68e-05,5301405,0,0,0,0,0,-196.046329831565,231720840
1,0.0588235294117647,1.01870650597637,0.10954421875,1.5651616175901,0.670345614732302,3.00604070325775,3.67109957161652,3.68e-05,5301405,0,0,0,0,0,-197.542430343073,561474638
1,0.0588235294117647,1.66832867053434,0.10954421875,1.68623707622293,0.620118969362939,2.75702045626779,3.90003438804311,3.68e-05,5301405,0,0,0,0,0,-200.632827054426,589403921
1,0.0588235294117647,2.63394618832144,0.10954421875,1.89561058117146,0.775045283185593,2.43318931881914,3.85948348736399,3.68e-05,5301405,0,0,0,0,0,-205.08158550305,992182276
1,0.0588235294117647,-17.50541734249,0.35949671875,119.11882515937,0.269929380436384,5.44016560932749,-0.884679334658404,3.68e-05,5301405,0,0,0,0,0,-406.608519089183,307396205
1,0.0588235294117647,-15.6938960465216,0.35949671875,8.72809611788778,0.680450438402525,6.76994364785243,3.19630311113589,3.68e-05,5301405,0,0,0,0,0,-295.165987203993,1045431069
1,0.0588235294117647,-15.9198122215077,0.35949671875,15.4351471652013,0.571403337326669,7.21107124817018,2.14158390930039,3.67999999999999e-05,5301405,0,0,0,0,0,-317.125801429317,978533276
1,0.0588235294117647,-17.7566962790451,0.35949671875,97.8218286424342,0.162886224167602,6.81601493803109,0.0202350442603375,3.68e-05,5301405,0,0,0,0,0,-397.790250598205,682417952
1,0.0588235294117647,-15.0556293646054,0.35949671875,8.69094514527056,0.730100394622879,7.70704968034365,2.41628372872419,3.68e-05,5301405,0,0,0,0,0,-295.864731132546,152523658
1,0.0588235294117647,-4.7781309101983,0.85940171875,103.482243364191,0.0126861189019262,1.49666969181715,-8.0288188711462,3.68e-05,5301405,0,0,0,0,0,-402.660569230766,316461836
1,0.0588235294117647,-5.76131163555511,0.85940171875,131.053511687708,0.00551581755199537,0.474591277547179,-7.0770637599127,3.68e-05,5301405,0,0,0,0,0,-415.666994879835,13255475
1,0.0588235294117647,-5.32594439042829,0.85940171875,124.205072109612,0.00444819935698795,0.655573137432714,-8.20328955549777,3.68e-05,5301405,0,0,0,0,0,-412.248775460955,84297602
1,0.0588235294117647,-5.00397399890506,0.85940171875,101.229365184514,0.00966819959333949,1.28606879430623,-7.43624056140604,3.68e-05,5301405,0,0,0,0,0,-401.336527779928,1015771010
1,0.0588235294117647,-4.14018286483903,0.85940171875,46.2704644065928,0.0321994773739186,0.47380771380112,-6.41945542462141,3.68e-05,5301405,0,0,0,0,0,-382.029227784609,683462460
1,0.0588235294117647,-14.3026167794461,0.23452046875,125.306733495437,0.352469903232862,-0.29445563782226,0.560615000438913,3.67999999999999e-05,5301405,0,0,0,0,0,-407.144266602883,678848137
1,0.0588235294117647,-14.5320175036615,0.23452046875,131.381635851054,0.252209515932052,0.0775497559604426,-2.22531866749804,3.68000000000001e-05,5301405,0,0,0,0,0,-422.38552738962,871146476
1,0.0588235294117647,-14.3528567542638,0.23452046875,128.864406144891,0.353260696438893,-0.216022308721283,-1.00067852670667,3.68e-05,5301405,0,0,0,0,0,-421.679773853733,589402905
1,0.0588235294117647,-14.1589100284647,0.23452046875,120.984597396556,0.40545886055118,-0.666644745477409,0.531456298480551,3.68e-05,5301405,0,0,0,0,0,-405.800977356649,59740576
1,0.0588235294117647,-14.5674006416834,0.23452046875,129.373232680431,0.429529640461327,-1.11672605821608,-1.73756933341219,3.68e-05,5301405,0,0,0,0,0,-422.138989211429,760347349
1,0.0588235294117647,-0.0362191716199772,0.73442546875,1.50472041176823,0.454432028970392,3.73506811582783,5.5153788337408,3.68e-05,5301405,0,0,0,0,0,-196.296357999901,280969648
1,0.0588235294117647,-0.0528262869720262,0.73442546875,1.5031650683188,0.453827072933266,3.74384352449672,5.57118975810782,3.68e-05,5301405,0,0,0,0,0,-196.295536787695,660722145
1,0.0588235294117647,-0.0494913101623112,0.73442546875,1.50410285900142,0.449293967195262,3.73075894546957,5.63888756707327,3.68e-05,5301405,0,0,0,0,0,-196.295281674916,224775503
1,0.0588235294117647,-0.041920966879374,0.73442546875,1.50634362484419,0.444953076027713,3.72979862068064,5.68366340607413,3.68000000000001e-05,5301405,0,0,0,0,0,-196.296549789535,103944368
1,0.0588235294117647,-0.0232272726873492,0.73442546875,1.50442996777454,0.453368885354732,3.73964021567363,5.46825434994637,3.68e-05,5301405,0,0,0,0,0,-196.300290835354,687682393
1,0.0588235294117647,-6.98750676930313,0.98437796875,3.11795111331938,0.546443227961341,-2.12090165003104,1.73093130057232,3.68000000000001e-05,5301405,0,0,0,0,0,-253.827993465439,512900596
1,0.0588235294117647,-6.21763660221482,0.98437796875,3.26614261375852,0.282792399780028,-1.47845470927181,1.65668278339601,3.68000000000001e-05,5301405,0,0,0,0,0,-234.536486286963,310635519
