"b_2","gamma","b_3","sigma_P","sigma_M","rho","b_1","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
-8,0.0588235294117647,-5.62167951160403,0.60944921875,2.24510229184934,0.932286817750207,1.37568084954053,3.68e-05,5301405,346875.998861679,0,0,0,0,0,-221.996167179234,146647798
-8,0.0588235294117647,-5.52367295361749,0.60944921875,2.23290293750288,0.928110261976994,1.31237629505949,3.68e-05,5301405,346875.952038221,0,0,0,0,0,-221.683153467113,246266930
-8,0.0588235294117647,-5.57923499056966,0.60944921875,2.34450137362393,0.904970834984508,1.34362026013823,3.68e-05,5301405,346875.181254349,0,0,0,0,0,-222.36445328279,117082817
-8,0.0588235294117647,-5.30475492347674,0.60944921875,2.21917257489148,0.93019798627249,1.21843261501943,3.68e-05,5301405,346876.98361954,0,0,0,0,0,-221.121927168969,280842882
-8,0.0588235294117647,-5.20369456017061,0.60944921875,2.20496998168801,0.948892837839616,1.15176092621497,3.67999999999999e-05,5301405,346875.521143957,0,0,0,0,0,-220.585167846723,866730721
-8,0.0588235294117647,-3.14409192449716,0.10954421875,2.44471735261243,0.873923495442178,-0.14548656872855,3.68e-05,5301405,46875.3715456084,0,0,0,0,0,-221.863303633304,927017447
-8,0.0588235294117647,-0.165618118961971,0.10954421875,0.0878368753286913,0.068254890445448,-2.10524132248136,3.68e-05,5301405,46875.6094685108,0,0,0,0,0,-950.620356864662,283103738
-8,0.0588235294117647,-0.299332831955446,0.10954421875,0.0561999881641166,0.0828071375382228,-1.75455481692952,3.68e-05,5301405,46876.0207202844,0,0,0,0,0,-950.350400221633,251286917
-8,0.0588235294117647,-0.20416781141237,0.10954421875,0.0264837658810953,0.0722652382937319,-2.00540458963676,3.68e-05,5301405,46875.4523569215,0,0,0,0,0,-950.098801098407,240531572
-8,0.0588235294117647,-0.42966539119652,0.10954421875,0.0329601710807125,0.100380448113117,-1.42632959330466,3.68e-05,5301405,46874.8084183798,0,0,0,0,0,-950.080660189175,503496923
-8,0.0588235294117647,-12.8451952846841,0.35949671875,5.92921772312959,0.920931194325744,3.59341269005763,3.68e-05,5301405,496875.426809521,0,0,0,0,0,-277.752835825125,340135988
-8,0.0588235294117647,-16.2221341383822,0.35949671875,15.8972152471601,0.860483271713603,4.87099630134009,3.68e-05,5301405,496874.747275722,0,0,0,0,0,-315.800214476462,367547649
-8,0.0588235294117647,-13.6943620365647,0.35949671875,6.51051543569682,0.903422378819974,3.79877279741668,3.68e-05,5301405,496875.727188193,0,0,0,0,0,-285.22146164573,433679089
-8,0.0588235294117647,-14.2233798210308,0.35949671875,7.56631363025884,0.890222850152512,3.90137259411119,3.68e-05,5301405,496876.523813653,0,0,0,0,0,-289.462141257152,985655757
-8,0.0588235294117647,-14.5991337555232,0.35949671875,8.27347572819232,0.902118953209641,4.02400561512272,3.68e-05,5301405,496876.178798535,0,0,0,0,0,-292.09189754917,217734909
-8,0.0588235294117647,-3.95033985069885,0.85940171875,2.07244474121566,0.926876876563287,0.581063979507643,3.68e-05,5301405,196873.315252416,0,0,0,0,0,-216.675841790101,552138945
-8,0.0588235294117647,-3.90888919634802,0.85940171875,2.0593008784006,0.912868605028248,0.548740683683647,3.68e-05,5301405,196876.537339084,0,0,0,0,0,-216.887019929381,600564116
-8,0.0588235294117647,-4.06733394242321,0.85940171875,2.05188408947135,0.908071080573581,0.674692646783493,3.68e-05,5301405,196874.497740939,0,0,0,0,0,-216.930854228467,731605268
-8,0.0588235294117647,-4.07313076840905,0.85940171875,2.08170007863696,0.89429533694441,0.648711117626233,3.68000000000001e-05,5301405,196876.364190914,0,0,0,0,0,-217.033598126423,168030423
-8,0.0588235294117647,-3.96913046690992,0.85940171875,2.12234732529803,0.877387078486489,0.623199200328613,3.68e-05,5301405,196875.956239144,0,0,0,0,0,-217.358084712532,961607039
-8,0.0588235294117647,-11.5124764611933,0.23452046875,5.41000982181193,0.890502894696025,3.30914540638763,3.68000000000001e-05,5301405,421876.535737373,0,0,0,0,0,-268.231808455781,128527501
-8,0.0588235294117647,-10.5651479827986,0.23452046875,4.33503200773243,0.892540579958902,3.10228117059695,3.68e-05,5301405,421878.121365683,0,0,0,0,0,-259.316402989899,111132490
-8,0.0588235294117647,-10.3641349402147,0.23452046875,4.111667183247,0.853384455914299,3.0375675873462,3.67999999999999e-05,5301405,421876.144758071,0,0,0,0,0,-258.336079622607,685252461
-8,0.0588235294117647,-10.0136972853427,0.23452046875,4.04850801277936,0.908887676032835,2.92675729051811,3.68e-05,5301405,421874.9957019,0,0,0,0,0,-253.745977077043,297393573
-8,0.0588235294117647,-10.1707052057158,0.23452046875,4.29008995755603,0.871734306312657,2.87068046666288,3.68e-05,5301405,421873.374733637,0,0,0,0,0,-255.970883993446,301638889
-8,0.0588235294117647,-4.72426927709121,0.73442546875,20.861754249488,0.884189937564032,5.32046221276472,3.68e-05,5301405,121877.232580023,0,0,0,0,0,-337.907578792903,480843813
-8,0.0588235294117647,-3.25508205066439,0.73442546875,22.2185592183735,0.882624865187115,6.45452831347863,3.68e-05,5301405,121875.256267852,0,0,0,0,0,-341.917809523045,300884542
-8,0.0588235294117647,-4.87697299424034,0.73442546875,4.07330157558231,0.746302742629766,1.08572017845021,3.68e-05,5301405,121874.894143704,0,0,0,0,0,-231.407526501804,420555811
-8,0.0588235294117647,-4.78380003840585,0.73442546875,20.7816643011471,0.83649580026005,4.81066018825808,3.68e-05,5301405,121875.907793316,0,0,0,0,0,-337.748403706015,910590962
-8,0.0588235294117647,-3.26628256646241,0.73442546875,22.2584004300988,0.857900874041423,5.55085843441988,3.68e-05,5301405,121877.539146533,0,0,0,0,0,-342.55231515532,998812998
-8,0.0588235294117647,-7.88856953430019,0.98437796875,26.8889217297697,0.844827891930743,-0.521452206108953,3.68e-05,5301405,571874.063439404,0,0,0,0,0,-357.057002487124,830542550
-8,0.0588235294117647,-6.91079086152461,0.98437796875,25.5833695831848,0.820881786210873,-0.592243717736252,3.68e-05,5301405,571874.60886663,0,0,0,0,0,-353.67271890317,141944915
-8,0.0588235294117647,-5.01573848917941,0.98437796875,2.36267113275738,0.742252501696228,1.31906213583046,3.67999999999999e-05,5301405,571873.749829951,0,0,0,0,0,-222.837169461154,108115326
-8,0.0588235294117647,-6.85884672803799,0.98437796875,10.5463652370841,0.766842742224907,0.896648920422139,3.68e-05,5301405,571875.044895527,0,0,0,0,0,-290.078906685364,597761597
-8,0.0588235294117647,-5.56078415438282,0.98437796875,15.3263245096423,0.81306518038316,0.165767381817595,3.68e-05,5301405,571875.160270247,0,0,0,0,0,-308.354560240483,992880691
-8,0.0588235294117647,3.91592787771093,0.48447296875,25.1583781267217,0.798026439661574,5.24465483716354,3.68e-05,5301405,271875.891297618,0,0,0,0,0,-354.041289784851,16121264
-8,0.0588235294117647,4.63381230894007,0.48447296875,24.2591590283011,0.753232004565634,3.65881071886434,3.67999999999999e-05,5301405,271875.132107132,0,0,0,0,0,-362.902098846473,958255980
-8,0.0588235294117647,3.34295762179524,0.48447296875,23.9013178614547,0.793534560705582,4.52526118546426,3.67999999999999e-05,5301405,271875.509309014,0,0,0,0,0,-358.748788142346,87276674
-8,0.0588235294117647,2.8103698964739,0.48447296875,25.9365220599877,0.796622045640761,3.65444150588437,3.68e-05,5301405,271873.605247748,0,0,0,0,0,-362.692312691067,410627310
-8,0.0588235294117647,3.4994667678334,0.48447296875,27.4856310725271,0.799784412817354,3.90693307379784,3.68e-05,5301405,271876.916392199,0,0,0,0,0,-361.396421204867,1051367917
-8,0.0588235294117647,-13.6690543676631,0.79691359375,7.10496884221174,0.783478621914254,4.00176441640632,3.67999999999999e-05,5301405,384374.013925623,0,0,0,0,0,-288.49320888083,252857061
-8,0.0588235294117647,-11.7637995678842,0.79691359375,5.08451395578032,0.904466618410346,3.58259677962437,3.68e-05,5301405,384374.683294065,0,0,0,0,0,-268.735062808057,558772478
-8,0.0588235294117647,-12.0520861461857,0.79691359375,5.46379214449175,0.84765641429627,3.69122906555418,3.67999999999999e-05,5301405,384374.867619161,0,0,0,0,0,-272.956623459645,154513771
-8,0.0588235294117647,-12.3366903353048,0.79691359375,5.33838466841137,0.886588585541663,3.82424864673673,3.67999999999999e-05,5301405,384374.667226381,0,0,0,0,0,-274.716950444578,198832152
-8,0.0588235294117647,-14.5796632082824,0.79691359375,8.68532140757853,0.694109268799815,4.12745911206869,3.68e-05,5301405,384375.550743737,0,0,0,0,0,-297.487030224381,998627391
