"rho","gamma","b_3","sigma_P","sigma_M","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.15,0.0588235294117647,-9.39703999557896,0.60944921875,7.62117407317729,3.41216052737811,0.513437631189878,3.68e-05,5301405,346875.349253432,0,0,0,0,0,-283.28061252285,800536461
0.15,0.0588235294117647,-10.7025025509952,0.60944921875,8.88944331229131,3.32380226766425,0.852294331733725,3.68e-05,5301405,346875.880773156,0,0,0,0,0,-291.657902054233,202037477
0.15,0.0588235294117647,-9.47563801384823,0.60944921875,7.28274052258927,3.13591709409607,0.415340012005633,3.68e-05,5301405,346875.609643091,0,0,0,0,0,-281.26369059725,569724456
0.15,0.0588235294117647,-9.05531079636873,0.60944921875,6.4503723267748,3.5310621411739,0.289188449724596,3.68e-05,5301405,346877.098982383,0,0,0,0,0,-280.93221100083,35558028
0.15,0.0588235294117647,-8.68552361908653,0.60944921875,5.18726091750311,3.11127990238008,0.274016559097006,3.67999999999999e-05,5301405,346874.705895539,0,0,0,0,0,-276.593939317791,538492420
0.15,0.0588235294117647,-3.96005982805133,0.10954421875,0.840264908798165,-1.59692311095321,-3.52182866367976,3.68e-05,5301405,46876.3829094596,0,0,0,0,0,-180.982049990321,928797730
0.15,0.0588235294117647,-4.00709277177949,0.10954421875,0.862103780394073,-1.60843673201758,-3.4870631077569,3.67999999999999e-05,5301405,46875.7868255658,0,0,0,0,0,-181.380844331821,400827017
0.15,0.0588235294117647,-3.95724011798602,0.10954421875,0.848276145845986,-1.60143853676772,-3.54586656462991,3.68e-05,5301405,46878.3812997516,0,0,0,0,0,-181.268735635278,494983854
0.15,0.0588235294117647,-3.98572069030949,0.10954421875,0.840489094867471,-1.59383502190444,-3.53668389557377,3.68e-05,5301405,46875.8248579237,0,0,0,0,0,-181.53501159501,737499644
0.15,0.0588235294117647,-2.70107308197262,0.10954421875,1.47756756439609,-1.64248670724147,-4.69281665971475,3.68e-05,5301405,46874.7161853663,0,0,0,0,0,-193.902819927625,709608332
0.15,0.0588235294117647,-12.6380010266853,0.35949671875,11.3748440774933,0.114549971859779,1.16144349957432,3.68e-05,5301405,496875.309860052,0,0,0,0,0,-299.132800104713,389685196
0.15,0.0588235294117647,-13.058711798134,0.35949671875,12.4497193740872,-0.111834500091135,1.26860972130946,3.68e-05,5301405,496874.667986041,0,0,0,0,0,-302.057517645327,189377412
0.15,0.0588235294117647,-12.471212859215,0.35949671875,9.55352205840908,0.493453893609127,1.38829046904305,3.68e-05,5301405,496874.271482251,0,0,0,0,0,-298.166557487374,170649568
0.15,0.0588235294117647,-12.811634087245,0.35949671875,13.3911016975051,0.504740530641382,1.14692014560976,3.68e-05,5301405,496874.215735122,0,0,0,0,0,-303.347757928777,382892306
0.15,0.0588235294117647,-13.0074287689162,0.35949671875,12.1263332504667,0.197741904499469,1.39080187104837,3.68e-05,5301405,496875.880812642,0,0,0,0,0,-301.486323897467,671937163
0.15,0.0588235294117647,-5.14393525446936,0.85940171875,5.55487557069394,4.38368644180838,-0.27628834291955,3.68e-05,5301405,196875.386215301,0,0,0,0,0,-272.886658903747,273675423
0.15,0.0588235294117647,-3.87500174705915,0.85940171875,5.50926947389874,4.90349075923286,1.17219983039521,3.68e-05,5301405,196872.570237687,0,0,0,0,0,-264.036643707781,731991309
0.15,0.0588235294117647,-3.50373452321455,0.85940171875,4.0045602646963,8.35559776327473,3.80072163672238,3.68e-05,5301405,196871.713176918,0,0,0,0,0,-246.259515349804,727389196
0.15,0.0588235294117647,-4.70464155190562,0.85940171875,5.87679723200741,4.9411648709197,1.28266773179182,3.68e-05,5301405,196878.880427823,0,0,0,0,0,-270.866424519015,635577786
0.15,0.0588235294117647,-6.2221717419304,0.85940171875,6.42115652819517,4.75584507150293,0.0683023083883263,3.68e-05,5301405,196877.049561074,0,0,0,0,0,-281.511204932386,914391629
