"sigma_M","gamma","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.0588235294117647,-11.2057082181548,0.60944921875,0.0560351063195597,6.23690675908496,0.026388852136751,3.67999999999999e-05,5301405,346875.471069629,0,0,0,0,0,-908.952321151212,1050791638
1e-04,0.0588235294117647,-12.83279541069,0.60944921875,0.0765523695126613,6.85548675713326,-0.634785839058152,3.68e-05,5301405,346876.387207324,0,0,0,0,0,-908.38798654887,439051601
9.99999999999999e-05,0.0588235294117647,-11.7794310676544,0.60944921875,0.139331033871867,4.358853304642,1.279601455971,3.67999999999999e-05,5301405,346875.496799783,0,0,0,0,0,-866.041628923097,511669126
1e-04,0.0588235294117647,-11.4891537525548,0.60944921875,0.0675942964932701,5.73030552808899,0.241807994352528,3.68000000000001e-05,5301405,346876.002784248,0,0,0,0,0,-873.574044027036,944457461
1e-04,0.0588235294117647,-11.1553337528358,0.60944921875,0.0403333041022552,5.01484136160901,0.880862105753263,3.68e-05,5301405,346876.741794171,0,0,0,0,0,-869.688955735727,830354650
1e-04,0.0588235294117647,1.05317311038841,0.10954421875,0.0637273255342244,-0.99613505990051,-7.13640056513802,3.67999999999999e-05,5301405,46876.0232204601,0,0,0,0,0,-948.148240941137,130305056
1e-04,0.0588235294117647,1.28882202364557,0.10954421875,0.0754157576413163,-1.57679009356298,-7.41623087205565,3.67999999999999e-05,5301405,46876.209886434,0,0,0,0,0,-948.245825185417,575616294
1e-04,0.0588235294117647,2.05457509108778,0.10954421875,0.295621503627029,-2.94908910798357,-6.14660916183865,3.67999999999999e-05,5301405,46876.3343145157,0,0,0,0,0,-940.561482079437,877578886
1e-04,0.0588235294117647,2.0784935078409,0.10954421875,0.241518922640072,-2.54461453186179,-6.01902151009791,3.67999999999999e-05,5301405,46879.2998973747,0,0,0,0,0,-933.617186702268,26377744
1e-04,0.0588235294117647,2.02914771006101,0.10954421875,0.18939978722804,-1.49242675907719,-5.8685429280235,3.67999999999999e-05,5301405,46877.9669770125,0,0,0,0,0,-942.74403155559,777784978
1e-04,0.0588235294117647,-18.3149415183655,0.35949671875,0.0161016886798743,0.92348622211875,2.79697086920327,3.67999999999999e-05,5301405,496874.091430176,0,0,0,0,0,-958.942064664929,781401435
1e-04,0.0588235294117647,-17.5914747859118,0.35949671875,0.0864801691774036,2.17826006625417,2.10350177426644,3.67999999999999e-05,5301405,496874.751612879,0,0,0,0,0,-956.524438559258,623631181
1e-04,0.0588235294117647,-18.578627492971,0.35949671875,0.0129535869625452,0.84562923787769,2.66701708804595,3.67999999999999e-05,5301405,496875.147759122,0,0,0,0,0,-959.658384734248,639313101
1e-04,0.0588235294117647,-17.6448181869256,0.35949671875,0.0156333090266469,0.905347647235418,2.65961240574384,3.67999999999999e-05,5301405,496874.214449972,0,0,0,0,0,-958.321065121439,633604120
1e-04,0.0588235294117647,-19.3895993366967,0.35949671875,0.0977297922315059,2.50580003987122,2.80758577222323,3.68e-05,5301405,496875.479712226,0,0,0,0,0,-924.118968808442,962094256
9.99999999999999e-05,0.0588235294117646,-6.2057216497711,0.85940171875,0.189738223305399,7.44931381074362,-3.93126221400633,3.68e-05,5301405,196876.03532677,0,0,0,0,0,-791.553047481351,910800100
1e-04,0.0588235294117647,-6.58757390628071,0.85940171875,0.197919009553478,7.59292991121081,-3.55818547813262,3.68e-05,5301405,196876.50493726,0,0,0,0,0,-782.567817900479,1048314221
1e-04,0.0588235294117647,-7.97972852432301,0.85940171875,0.198547505219422,7.85116958329421,-2.72340192929978,3.67999999999999e-05,5301405,196876.717710248,0,0,0,0,0,-813.793712286525,425330505
1e-04,0.0588235294117647,-5.99517488561005,0.85940171875,0.183724051960129,7.43007924772616,-3.46236075257497,3.68000000000001e-05,5301405,196876.896734327,0,0,0,0,0,-802.189514302459,1024119181
1e-04,0.0588235294117647,-5.55682118924316,0.85940171875,0.0400574267442306,7.68852151329728,-3.60082590907316,3.68000000000001e-05,5301405,196875.862364711,0,0,0,0,0,-832.207727579757,851837188
1e-04,0.0588235294117647,-12.923480556163,0.23452046875,0.142849746535706,0.483763282390955,-4.00895197561525,3.67999999999999e-05,5301405,421875.662403687,0,0,0,0,0,-985.23797481301,289058845
1e-04,0.0588235294117647,-13.6635104928039,0.23452046875,0.0826567796053905,2.174665820536,-3.40331816291047,3.67999999999999e-05,5301405,421875.703664657,0,0,0,0,0,-926.019259183483,244722825
1e-04,0.0588235294117647,-14.4823145761868,0.23452046875,0.159095236429071,-0.493320539779122,-3.49458692507371,3.67999999999999e-05,5301405,421873.939935279,0,0,0,0,0,-985.255250498831,750022656
1e-04,0.0588235294117647,-13.6238783589296,0.23452046875,0.23006571874211,1.70008247442987,-4.53571343331799,3.68e-05,5301405,421873.680593714,0,0,0,0,0,-844.461309788396,1029643022
1e-04,0.0588235294117647,-14.0862724434718,0.23452046875,0.139059540868965,0.76343757364968,-3.70367431801302,3.67999999999999e-05,5301405,421878.101062695,0,0,0,0,0,-895.641107001469,345319112
1e-04,0.0588235294117647,0.0759717603932276,0.73442546875,0.344229684832125,3.98922782867648,2.26284372289645,3.68e-05,5301405,121875.706830314,0,0,0,0,0,-604.595001101291,786940348
1e-04,0.0588235294117647,-0.983749133758496,0.73442546875,0.723836025747185,4.70239466093209,0.320077108716032,3.68000000000001e-05,5301405,121875.738875539,0,0,0,0,0,-555.449636501779,712949934
1e-04,0.0588235294117647,0.236416332697731,0.73442546875,0.305303711050362,4.31815598364923,1.82731515821539,3.68e-05,5301405,121874.635387362,0,0,0,0,0,-610.96958624498,482481931
1e-04,0.0588235294117647,0.296379464202067,0.73442546875,0.326698721561522,4.33660101186405,1.2659284229569,3.68e-05,5301405,121876.880505404,0,0,0,0,0,-604.704321370748,82203460
1e-04,0.0588235294117647,0.432452450614927,0.73442546875,0.35117490697335,4.46069780941101,1.11040334328393,3.68e-05,5301405,121875.681591681,0,0,0,0,0,-608.219006903028,985966251
1e-04,0.0588235294117647,-7.02157035592026,0.98437796875,0.182675079757636,3.47035851590981,-9.22166070298626,3.67999999999999e-05,5301405,571872.888685847,0,0,0,0,0,-936.633485203718,200329959
1e-04,0.0588235294117647,-6.39245183117512,0.98437796875,0.0980359338124779,2.72337360521479,-8.30216933124567,3.67999999999999e-05,5301405,571876.095543115,0,0,0,0,0,-933.337829671923,641283797
1e-04,0.0588235294117647,-5.98032681378945,0.98437796875,0.171845805682912,2.67230239533067,-7.56934464568772,3.67999999999999e-05,5301405,571873.416060884,0,0,0,0,0,-900.681861674916,253820946
1e-04,0.0588235294117647,-6.23545738193302,0.98437796875,0.0238469474827274,4.49594566702846,-7.11004876779663,3.67999999999999e-05,5301405,571874.62645171,0,0,0,0,0,-952.433855319022,707249358
1e-04,0.0588235294117647,-7.15290824400414,0.98437796875,0.0614151962301546,5.49560113061849,-8.21928124279302,3.67999999999999e-05,5301405,571875.981251886,0,0,0,0,0,-952.393327566379,271602426
1e-04,0.0588235294117647,2.08262192885739,0.48447296875,0.345484547438838,-2.57971455014046,-1.32515822604057,3.67999999999999e-05,5301405,271872.631846515,0,0,0,0,0,-855.012956916299,392115665
1e-04,0.0588235294117647,2.12892026358624,0.48447296875,0.348918969225968,-3.10151738167888,-1.20100992843748,3.67999999999999e-05,5301405,271873.487735853,0,0,0,0,0,-855.92614021699,277674808
1e-04,0.0588235294117647,3.81616029914172,0.48447296875,0.144848974187967,-2.27312915758389,0.258261173153941,3.68e-05,5301405,271875.272091692,0,0,0,0,0,-759.278821537074,466492416
1e-04,0.0588235294117647,1.83196470474159,0.48447296875,0.371562782663196,-2.4807162668778,-1.16337672649467,3.67999999999999e-05,5301405,271873.678138698,0,0,0,0,0,-825.745208047517,902465732
9.99999999999999e-05,0.0588235294117647,4.53888227093539,0.48447296875,0.102433566808007,-2.16271307310948,-2.64398745117582,3.68000000000001e-05,5301405,271876.215455631,0,0,0,0,0,-789.612238681895,792302876
1e-04,0.0588235294117647,-16.5457175247656,0.79691359375,0.106911864935648,-2.98548896449273,-1.62633058707082,3.67999999999999e-05,5301405,384375.510084515,0,0,0,0,0,-986.456421517076,907638305
1e-04,0.0588235294117647,-15.8582601674104,0.79691359375,0.07787379046652,-2.41453580481089,-1.52317410649735,3.67999999999999e-05,5301405,384375.788863773,0,0,0,0,0,-986.47951329317,813675227
1e-04,0.0588235294117647,-16.4424625189864,0.79691359375,0.105052939064669,-3.07260829793982,-1.62022856391334,3.67999999999999e-05,5301405,384375.521137586,0,0,0,0,0,-986.466610386364,1046003225
1e-04,0.0588235294117647,-16.1219293395347,0.79691359375,0.0917207069636408,-2.64228636307119,-1.61918801385938,3.67999999999999e-05,5301405,384375.81612643,0,0,0,0,0,-986.469950894791,685788209
1e-04,0.0588235294117647,-16.2329711033275,0.79691359375,0.095881192167351,-2.69738820108251,-1.63575900701351,3.67999999999999e-05,5301405,384374.842708255,0,0,0,0,0,-986.48234664272,879857044
1e-04,0.0588235294117647,-3.8193067245774,0.29700859375,0.244983894323293,3.3479471045588,-7.01030357501504,3.67999999999999e-05,5301405,84376.5280368258,0,0,0,0,0,-949.986528955235,210126721
1e-04,0.0588235294117647,-3.54845016405714,0.29700859375,0.0135612455235602,5.35490566731143,-6.95849841760971,3.67999999999999e-05,5301405,84375.519398144,0,0,0,0,0,-947.320302002368,281987060
1e-04,0.0588235294117647,-4.58572142151989,0.29700859375,0.216548774544178,4.29974741175454,-5.59504723138002,3.67999999999999e-05,5301405,84375.4624476099,0,0,0,0,0,-919.439771854952,318696265
1e-04,0.0588235294117647,-3.88858520549947,0.29700859375,0.236586823834369,3.26373311849021,-6.96650853926995,3.67999999999999e-05,5301405,84376.2319604688,0,0,0,0,0,-949.540343071814,619598724
1e-04,0.0588235294117647,-4.61571873696922,0.29700859375,0.224539207005813,4.03207967545183,-5.80255654558774,3.67999999999999e-05,5301405,84373.0894707165,0,0,0,0,0,-917.953208302764,344800784
1e-04,0.0588235294117647,-8.42577953639993,0.04705609375,0.0255273606934059,4.82891922105321,4.56660879267395,3.68000000000001e-05,5301405,534375.274335856,0,0,0,0,0,-942.490237294444,751669714
9.99999999999999e-05,0.0588235294117647,-9.97694016236836,0.04705609375,0.102565827154289,7.7070284311009,2.18443484154756,3.67999999999999e-05,5301405,534375.45544909,0,0,0,0,0,-930.397657808563,682958404
1e-04,0.0588235294117647,-8.58182465611315,0.04705609375,0.0387855221987612,5.17914773812634,3.64708670127589,3.68e-05,5301405,534377.162356577,0,0,0,0,0,-950.549036466334,857950577
1e-04,0.0588235294117647,-9.80001086053139,0.04705609375,0.0370772434231809,5.08974132434429,4.17331912725173,3.68e-05,5301405,534377.255744477,0,0,0,0,0,-953.878194248853,952481017
1e-04,0.0588235294117647,-9.0063750788815,0.04705609375,0.0536191937606146,5.22675071299642,2.90152977560639,3.68000000000001e-05,5301405,534376.86041932,0,0,0,0,0,-955.914023647847,2444064
1e-04,0.0588235294117647,2.31715389577931,0.54696109375,0.26235964698671,1.64685097914119,-0.406908062850441,3.68e-05,5301405,234373.594745892,0,0,0,0,0,-534.739337723962,225297669
1e-04,0.0588235294117647,2.06579125044559,0.54696109375,0.134336555231866,2.42566489864228,-2.23826511602479,3.68e-05,5301405,234377.011291672,0,0,0,0,0,-608.572989876902,61565125
1e-04,0.0588235294117647,2.48230706614905,0.54696109375,0.261933857648699,1.66647140871501,-1.75463918525922,3.68e-05,5301405,234374.978406208,0,0,0,0,0,-578.380880842374,150806229
1e-04,0.0588235294117647,2.38929981399423,0.54696109375,0.15885675246844,1.80551348550628,-1.37312105705775,3.68e-05,5301405,234374.884998736,0,0,0,0,0,-600.475121045924,312306621
1e-04,0.0588235294117647,1.4434990326671,0.54696109375,0.199600807494954,2.55021150331883,-1.85473333511482,3.68e-05,5301405,234374.260630806,0,0,0,0,0,-595.431697421717,757716674
1e-04,0.0588235294117647,-7.20542789250681,0.42198484375,0.197230206926552,5.46269212190888,-2.86247204871132,3.67999999999999e-05,5301405,309377.189381429,0,0,0,0,0,-778.102867976717,237626155
1e-04,0.0588235294117647,-7.487443073351,0.42198484375,0.184403294300806,5.84275982897776,-2.60108719116153,3.68e-05,5301405,309374.909525996,0,0,0,0,0,-779.232653812841,233376005
1e-04,0.0588235294117647,-7.70278984652193,0.42198484375,0.205822772297931,5.84157964548046,-2.57274753281046,3.67999999999999e-05,5301405,309376.87870795,0,0,0,0,0,-777.056308881374,210391220
1e-04,0.0588235294117647,-7.47262405989083,0.42198484375,0.180622924319531,5.70898914660452,-2.37466052545929,3.68e-05,5301405,309373.478197916,0,0,0,0,0,-788.94435215799,508201401
