"sigma_P","gamma","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.0588235294117647,-6.23190574363149,1.42322777544981,0.880105082324545,0.338323901914644,-0.698074264631643,3.68e-05,5301405,346874.026243623,0,0,0,0,0,-199.062364260648,709949313
0.00019,0.0588235294117647,-6.77997915527447,1.4830584489084,0.892741031080702,0.435201476742337,-0.499408000100323,3.67999999999999e-05,5301405,346875.970529129,0,0,0,0,0,-202.343815694979,76097807
0.00019,0.0588235294117647,-6.7119858686035,1.54234383085814,0.864313497944,0.583696519928943,-0.50362022444005,3.68000000000001e-05,5301405,346875.595898377,0,0,0,0,0,-202.526437630902,452570023
0.00019,0.0588235294117647,-6.97139460180761,1.63187021585158,0.874024205154301,0.839903006417726,-0.38488822307405,3.68e-05,5301405,346875.932284497,0,0,0,0,0,-205.434866248789,726676525
0.00019,0.0588235294117647,-7.70896375400724,1.79792767643617,0.874305313202634,0.600737230386491,-0.133709889407309,3.68e-05,5301405,346876.099512269,0,0,0,0,0,-210.842263937127,277789420
0.00019,0.0588235294117647,-3.82743487357533,0.92280280553035,0.59728613974256,-1.50914158452183,-3.96530356184607,3.68e-05,5301405,46874.4127031749,0,0,0,0,0,-178.780800434631,31274784
0.00019,0.0588235294117647,-4.39464826139375,0.622913500741058,0.552330148157957,-1.37143477218333,-3.60854254576126,3.67999999999999e-05,5301405,46875.0193215926,0,0,0,0,0,-173.135473856966,987303111
0.00019,0.0588235294117647,-4.37178541251526,0.603435811656933,0.546435899519497,-1.37169219784782,-3.58980023716172,3.68e-05,5301405,46876.2875571401,0,0,0,0,0,-172.836952961678,911492434
0.00019,0.0588235294117647,-3.52818330555089,1.05567029493547,0.732537006902151,-1.52613153313057,-4.3094383282825,3.68e-05,5301405,46877.5732950159,0,0,0,0,0,-184.242233793136,185721549
0.00019,0.0588235294117647,-4.36045788187255,0.592764704426883,0.505498626280252,-1.35640253247968,-3.60817994944187,3.68e-05,5301405,46876.1538564706,0,0,0,0,0,-172.827912951978,936001462
0.00019,0.0588235294117647,-12.8523905204513,4.38118672818548,0.87212768252193,-0.0890643959103426,1.56174015466937,3.68000000000001e-05,5301405,496874.220357093,0,0,0,0,0,-264.671486881198,664785415
0.00019,0.0588235294117647,-14.1869812591011,8.85679522244726,0.848322034625266,0.110231667740429,1.97595503512613,3.68e-05,5301405,496875.034409918,0,0,0,0,0,-284.94321298533,906488793
0.00019,0.0588235294117647,-13.9040219668083,6.25455581988855,0.898943075588798,0.673605010733092,1.95647699557656,3.68e-05,5301405,496874.632929823,0,0,0,0,0,-276.758068019962,849345763
0.00019,0.0588235294117647,-13.9668186512409,5.77468944630266,0.848391334159831,0.0406823935043345,1.96031004226813,3.68000000000001e-05,5301405,496876.121388698,0,0,0,0,0,-277.140022234041,945948744
0.00019,0.0588235294117647,-13.9450397466003,6.20670154068009,0.82616022417467,0.521477193185709,1.97010641488623,3.68e-05,5301405,496874.875579132,0,0,0,0,0,-278.305420224927,1052461690
0.00019,0.0588235294117647,-3.38627490067932,2.58457254884177,0.871449001974012,8.20601084306473,2.8483013555694,3.68e-05,5301405,196874.343132612,0,0,0,0,0,-226.99093153649,640944454
0.00019,0.0588235294117647,-2.8120562498227,2.01786979047851,0.87720987741211,8.0009007431635,3.93407772453395,3.67999999999999e-05,5301405,196874.155781016,0,0,0,0,0,-211.675442380286,756240264
0.00019,0.0588235294117647,-1.13805739126089,1.75382076840355,0.87455962486588,8.40204999397231,4.28889499153619,3.68e-05,5301405,196877.289035551,0,0,0,0,0,-202.479279868391,273906413
0.00019,0.0588235294117647,-1.41353409744672,1.75122599557517,0.836438238745127,7.50553499403004,4.47868558533913,3.68e-05,5301405,196875.038249903,0,0,0,0,0,-202.548504168741,343105465
0.00019,0.0588235294117647,-4.80953344995695,2.98147119088434,0.886644842314085,8.32066636270118,3.26545654720901,3.68e-05,5301405,196872.949710845,0,0,0,0,0,-234.223241401129,983123099
0.00019,0.0588235294117647,-6.89938815560431,1.26852583416073,0.839895666251331,-0.13053655703075,-3.17555833996115,3.68e-05,5301405,421873.372382234,0,0,0,0,0,-192.178681794665,755364858
0.00019,0.0588235294117647,-8.05504804979901,1.43761684233873,0.878310072045605,0.101429941054039,-3.06012218108549,3.68e-05,5301405,421878.122978784,0,0,0,0,0,-198.390102580872,19924910
0.00019,0.0588235294117647,-7.2348948017955,1.2947667754086,0.839830060830763,-0.0445121671305941,-3.1553585979373,3.68e-05,5301405,421872.778446683,0,0,0,0,0,-193.291615712119,367694995
0.00019,0.0588235294117647,-7.60451436637726,1.36414713380364,0.923004002441697,-0.00129446475185942,-3.04629178996464,3.68e-05,5301405,421878.231347747,0,0,0,0,0,-195.132591509967,151283683
0.00019,0.0588235294117647,-7.20634318903334,1.31565951359102,0.835615069843378,-0.00770284595103016,-3.24002180545944,3.68e-05,5301405,421875.422583108,0,0,0,0,0,-193.10482824135,1053783623
0.00019,0.0588235294117647,-0.0475309933779452,1.49743391935311,0.467784295640457,3.7373359297159,5.33311575873034,3.68000000000001e-05,5301405,121875.679991292,0,0,0,0,0,-196.071106958712,559072281
0.00019,0.0588235294117647,-0.0585049290126544,1.49844233249044,0.469844050874364,3.73419089087766,5.3817239202081,3.68e-05,5301405,121875.290436161,0,0,0,0,0,-196.072964984199,787462503
0.00019,0.0588235294117647,-0.0519533277651775,1.50296669252181,0.462021467964979,3.72875477863375,5.39355549433496,3.68e-05,5301405,121876.612788875,0,0,0,0,0,-196.07562293672,968821731
0.00019,0.0588235294117647,-0.06281124647544,1.50337675642352,0.475654168469571,3.74273634713127,5.29125198081338,3.68e-05,5301405,121875.563568302,0,0,0,0,0,-196.085023377144,483133588
0.00019,0.0588235294117647,-0.0614954702103843,1.50121905566344,0.462008926896863,3.73113178729856,5.42936338170422,3.68e-05,5301405,121877.215776458,0,0,0,0,0,-196.071108940904,501941770
0.00019,0.0588235294117647,-4.68113282646596,0.874537168679664,0.197404916975255,-0.979172948495464,-3.43994051422659,3.68e-05,5301405,571875.978138172,0,0,0,0,0,-178.952852202585,830101418
0.00019,0.0588235294117647,-4.22182534068681,0.709645125850508,0.05266973183815,-1.12317335169735,-3.09095362081398,3.68e-05,5301405,571874.392124432,0,0,0,0,0,-172.108490736322,757471525
0.00019,0.0588235294117647,-4.26476415909675,0.717051302542508,0.0563291281677298,-1.09696487035571,-3.12502371855715,3.68e-05,5301405,571876.332388435,0,0,0,0,0,-172.192444935379,44696661
