"","time","sim_data_median","sim_data_low_Q","sim_data_high_Q","combo_num"
"1",151,17860.5,2571.55,36351.55,1
"2",181,4549.5,746.075,14417.8,1
"3",212,1081,285.7,2385.425,1
"4",243,301.5,42,897.625,1
"5",273,201.5,49.9,459.1,1
"6",304,159.5,30.475,525.174999999999,1
"7",334,286,41.275,733.575,1
"8",365,759.5,189.9,1738.575,1
"9",396,2124.5,378.75,6765.25,1
"10",424,5749.5,1311.85,16673.525,1
"11",455,9685,2071.075,35621.975,1
"12",485,8485,1991.95,21471.5,1
"13",516,3581,751.05,9647.275,1
"14",546,837.5,192.375,2006.85,1
"15",577,162,31.475,494.549999999999,1
"16",608,43,8.475,120.2,1
"17",638,19,4.475,50,1
"18",669,14,2,39.525,1
"19",699,15.5,2.475,52.525,1
"20",730,21,3,63.575,1
"21",761,33.5,4.425,105.15,1
"22",790,53.5,11.95,179.775,1
"23",821,60.5,13,182.775,1
"24",851,39,7.475,114.575,1
"25",882,20,4.475,53.525,1
"26",912,4,0,14,1
"27",151,14479,2521.325,31223.175,2
"28",181,4697,919.575,13915.225,2
"29",212,1064,219.6,2771.6,2
"30",243,368,48.475,899.549999999999,2
"31",273,203,64.425,595.824999999999,2
"32",304,181,34,579.899999999999,2
"33",334,311.5,83.325,731.8,2
"34",365,802,183.675,2075.6,2
"35",396,2430,458.75,6564.675,2
"36",424,5581.5,922.7,16065.575,2
"37",455,10832.5,2295.775,30223.125,2
"38",485,7677.5,1583.525,24404.675,2
"39",516,3404.5,823.4,8992.65,2
"40",546,758.5,184.85,2174.75,2
"41",577,164,32.475,468.625,2
"42",608,46.5,8.9,119.725,2
"43",638,18.5,2,55.575,2
"44",669,15,1.475,37.525,2
"45",699,14,1.475,38.525,2
"46",730,19.5,4.475,61.1499999999999,2
"47",761,33,4,101.1,2
"48",790,43.5,10.95,106.575,2
"49",821,55.5,11,138.175,2
"50",851,42,6.475,116.15,2
"51",882,14,3.475,44.1,2
"52",912,3,0,13.525,2
"53",151,9298,1483.725,24711.4,3
"54",181,2975,715.8,9526.125,3
"55",212,711.5,177.975,1936.1,3
"56",243,221,28.475,677.75,3
"57",273,142.5,29.9,292.525,3
"58",304,115,33.475,320.05,3
"59",334,193.5,32.425,573.074999999999,3
"60",365,606,86.85,1953.675,3
"61",396,2542,605.05,6628.1,3
"62",424,6418.5,768.3,15920.35,3
"63",455,14456,4692.375,41511.45,3
"64",485,13574.5,2119.65,33183.4,3
"65",516,5885,1744.35,18579.55,3
"66",546,1420,332.975,4154.875,3
"67",577,286.5,102.85,770.625,3
