"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
1,0.0588235294117647,0.641834963880249,0.60944921875,1.38678163671301,0.589416377883093,0.386875752934234,0.889491728552331,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.455970590901,1011095481
1,0.0588235294117647,0.590519737606525,0.60944921875,1.37379941095277,0.371014617452677,0.371693087579428,0.888316355108294,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.936860924974,903755260
1,0.0588235294117647,0.561295008156678,0.60944921875,1.35760443508506,0.359588837147563,0.348884252401631,0.879390634196032,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-198.893555901024,414754947
1,0.0588235294117647,0.581985714310715,0.60944921875,1.30449181801095,0.355032149626649,0.358359185187548,0.907886183045906,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.814278693053,169953061
1,0.0588235294117647,0.60866945824304,0.60944921875,1.39388541875207,0.336715766846072,0.351822791569925,0.836628344100687,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.414759386192,730410578
1,0.0588235294117647,6.80347025007295,0.10954421875,1.35915091058445,0.347918396843294,0.322733204998972,0.858626451860558,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-198.747046344434,134388450
1,0.0588235294117647,5.70119214018735,0.10954421875,1.96748091760406,0.32642394976382,0.082498891509315,0.512127006366145,3.68e-05,5281842,0,0,0,0.01721420632104,0,-233.938814036938,468265483
1,0.0588235294117647,1.57267950521406,0.10954421875,1.84724383214795,0.295359799034707,0.0569231029967776,0.620218483731067,3.68e-05,5281842,0,0,0,0.01721420632104,0,-336.125840873846,428672492
1,0.0588235294117647,0.722341118010228,0.10954421875,1.45538228474662,0.423267766999417,11.9290800141308,0.690485138619061,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-194.976990060494,808575176
1,0.0588235294117647,2.47315606971885,0.10954421875,0.094549661136132,0.463665963556552,0.219947225938245,0.534241558138425,3.68e-05,5281842,0,0,0,0.01721420632104,0,-922.074797275302,64610839
1,0.0588235294117647,0.604195922980106,0.35949671875,1.31290686688782,0.382389106128003,0.365751997545741,0.916770270194412,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.56152986507,593898994
1,0.0588235294117647,0.572147851790399,0.35949671875,1.31475012581593,0.429807812437313,0.358340673902915,0.926156112355291,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.502411829747,864670994
1,0.0588235294117647,0.604214414729231,0.35949671875,1.34838555267541,0.401591838218634,0.366492941059273,0.910060571488378,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.578862356121,786227600
1,0.0588235294117647,0.565501547215445,0.35949671875,1.33806881086057,0.404198698717525,0.350275721360887,0.918705789914243,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.463290503482,459290005
1,0.0588235294117647,0.609451954201865,0.35949671875,1.35439426948742,0.452685653609184,0.379794832558005,0.933508879193648,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.473247756936,182231912
1,0.0588235294117647,2.27422373741611,0.85940171875,3.36360560599796,0.219469736907594,0.140261367229764,0.0130994100935205,3.68e-05,5281842,0,0,0,0.01721420632104,0,-238.306357805981,814654604
1,0.0588235294117647,2.19019800911204,0.85940171875,7.12071144896701,0.152024240106537,0.190418218266269,0.0131910694157442,3.68e-05,5281842,0,0,0,0.01721420632104,0,-269.567630125367,1027872833
1,0.0588235294117647,1.37040910723551,0.85940171875,7.8243124526929,0.0648852976456586,0.256195243520062,0.0125828950293032,3.68e-05,5281842,0,0,0,0.01721420632104,0,-323.155906497016,721545344
1,0.0588235294117647,0.392864256267422,0.85940171875,4.30643032035454,0.174790662239283,0.23755269531896,0.0084930050698219,3.68e-05,5281842,0,0,0,0.01721420632104,0,-303.535518261301,533407843
1,0.0588235294117647,1.10362798765062,0.85940171875,3.94608705219541,0.117589082723272,0.178572887887548,0.0102259140859283,3.68e-05,5281842,0,0,0,0.01721420632104,0,-250.289425885207,370307949
1,0.0588235294117647,0.583032339906076,0.23452046875,1.29662364347209,0.348953935653816,0.357412127375255,0.918085856945129,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.548085245955,738260097
1,0.0588235294117647,0.561732990397446,0.23452046875,1.33475507826745,0.375123948634389,0.344841593989362,0.889873905673885,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-198.556429912734,1018750690
1,0.0588235294117647,0.612255042123234,0.23452046875,1.31241013903263,0.437245531998311,0.374805430184534,0.916898465487826,3.68e-05,5281842,0,0,0,0.01721420632104,0,-198.508663420035,185818301
1,0.0588235294117647,-0.347286264877909,0.23452046875,2.2265568180056,0.689170788472373,0.0847556023981235,0.654468125132983,3.68e-05,5281842,0,0,0,0.01721420632104,0,-220.545366882676,571722737
1,0.0588235294117647,-0.192457511985267,0.23452046875,2.14381702628336,0.656213494688351,0.0849983018476211,0.624675493557873,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-220.766377963331,211753772
1,0.0588235294117647,0.710222022996219,0.73442546875,1.34898449052691,0.354863828209726,0.452361263161443,0.907893454636973,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.321981194863,798502211
1,0.0588235294117647,0.608936264728474,0.73442546875,1.4427286284645,0.46478942900417,12.9013531463168,0.737880495784038,3.68e-05,5281842,0,0,0,0.01721420632104,0,-195.101389259585,441523997
1,0.0588235294117647,0.603426497478208,0.73442546875,1.44553662712695,0.469204409265118,12.9594023251089,0.738152868554018,3.68e-05,5281842,0,0,0,0.01721420632104,0,-195.102896706891,47786511
1,0.0588235294117647,0.622428247012412,0.73442546875,1.44633918077186,0.462506496438046,12.7869345474961,0.734556446113017,3.68e-05,5281842,0,0,0,0.01721420632104,0,-195.106786902389,575634454
1,0.0588235294117647,0.589077608254629,0.73442546875,1.23877593276115,0.206864789135513,0.367468041637169,0.911298947179162,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.624602193932,13053743
1,0.0588235294117647,0.322601245995897,0.98437796875,2.38582957804062,0.341840240472829,0.100191903389088,0.389749345482064,3.68e-05,5281842,0,0,0,0.01721420632104,0,-223.883673778951,493088368
1,0.0588235294117647,0.576730403480843,0.98437796875,2.54895282594938,0.384027776036796,0.10212949368919,0.431276650055682,3.68e-05,5281842,0,0,0,0.01721420632104,0,-225.713210772572,523080760
1,0.0588235294117647,-0.0182664520729167,0.98437796875,1.56585847052139,0.174243846986573,0.178353608433763,0.629678436160938,3.68e-05,5281842,0,0,0,0.01721420632104,0,-204.55009104164,591578827
1,0.0588235294117647,0.219661423030017,0.98437796875,2.03484740518659,0.306149192976746,0.102152209210781,0.733592953627982,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-219.861435633352,295488029
1,0.0588235294117647,-0.046916497057368,0.98437796875,1.94823974861347,0.252081255422157,0.0939611347383839,0.686480939739442,3.68e-05,5281842,0,0,0,0.01721420632104,0,-218.351779209723,1029363173
1,0.0588235294117647,4.25585204543757,0.48447296875,2.09610523276297,0.633161813175223,0.116105316684829,0.112661185472645,3.68e-05,5281842,0,0,0,0.01721420632104,0,-227.750034154363,506809998
1,0.0588235294117647,1.3592508274264,0.48447296875,2.65705577824142,0.667106830235628,0.105404865015443,0.0996394858265385,3.68e-05,5281842,0,0,0,0.01721420632104,0,-232.511633127974,684484367
1,0.0588235294117647,4.11146880983999,0.48447296875,2.3955415037365,0.629893343287042,0.109331063383527,0.10226573544333,3.68e-05,5281842,0,0,0,0.01721420632104,0,-227.421963086271,143692744
1,0.0588235294117647,2.04417635196026,0.48447296875,2.40819012965342,0.654292060738172,0.109551572786234,0.0956731483823073,3.68e-05,5281842,0,0,0,0.01721420632104,0,-233.835705679548,955818465
1,0.0588235294117647,3.35453644182559,0.48447296875,2.02674312120215,0.526895357662056,0.122891192911134,0.0320671645117983,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-234.544922722174,782332856
1,0.0588235294117647,0.633016740488405,0.79691359375,1.44617506767301,0.388017703549714,0.388793114150595,0.834841754045754,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-199.657699408869,251926663
1,0.0588235294117647,0.606511527185353,0.79691359375,1.44230571178498,0.450739604130591,12.9822407257232,0.732608992911655,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-195.128184958502,525998688
1,0.0588235294117647,0.527039180293262,0.79691359375,1.37823877023499,0.384168314882488,0.332893451920656,0.848378289878548,3.68e-05,5281842,0,0,0,0.01721420632104,0,-199.395467425428,282987015
1,0.0588235294117647,0.615467954307382,0.79691359375,1.44444994765662,0.447863889533387,12.9137856302993,0.727716363768245,3.68e-05,5281842,0,0,0,0.01721420632104,0,-195.139528693541,932700452
1,0.0588235294117647,0.533813773513857,0.79691359375,1.44587476396617,0.497201563604203,0.343578070924317,0.812158856421489,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-200.073682607475,246495851
1,0.0588235294117647,6.4263523911804,0.29700859375,1.549775544699,0.331481979466681,0.213561434265486,0.702273843770262,3.68e-05,5281842,0,0,0,0.01721420632104,0,-201.903170643895,67437107
1,0.0588235294117647,6.74159156385518,0.29700859375,1.40590787011979,0.390638970870622,0.290896003434888,0.775172670118813,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-199.921989563189,713129179
