"I_0","gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","R_0","C_0","r","omega","epsilon","LL","seed"
537931.137931035,0.0588235294117647,1.18810196441735,0.26576453125,0.667851135477773,0.0448206664590111,0.075723247186449,0.753448266797152,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-171.181231060586,630150828
537931.137931035,0.0588235294117647,1.15871877939117,0.26576453125,0.857045294301806,0.118710699125763,0.0684994892550005,0.877684247623253,3.68e-05,5281842,0,0,0,0.01721420632104,0,-177.082138333276,151455331
537931.137931035,0.0588235294117647,1.1934021865816,0.26576453125,0.669916852113842,0.0442384233715846,0.0757160855313825,0.745707635398644,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.184627423749,14526636
537931.137931035,0.0588235294117647,1.18685426833159,0.26576453125,0.677067021137874,0.0478333301907755,0.0753099235612276,0.769009506304632,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.241520775066,280880320
537931.137931035,0.0588235294117647,1.19481327448061,0.26576453125,0.665361063904829,0.0441442689986258,0.0756748900773892,0.748065534111471,3.68e-05,5281842,0,0,0,0.01721420632104,0,-171.163890816329,261020920
537931.137931035,0.0588235294117647,1.03988315354049,0.76566953125,1.24770643216384,0.340550063027091,0.121723130922498,0.662577093522573,3.68e-05,5281842,0,0,0,0.01721420632104,0,-191.980269348639,973083660
537931.137931035,0.0588235294117647,1.70881526493009,0.76566953125,4.03283839589347,0.373805442662149,0.874312925661466,0.674848635479214,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-345.52867595488,905477002
537931.137931035,0.0588235294117647,1.25124478890756,0.76566953125,0.778553702033557,0.120761286641115,0.0618496596847332,0.702055670257226,3.68e-05,5281842,0,0,0,0.01721420632104,0,-177.202342737246,335158695
537931.137931035,0.0588235294117647,1.23998202629231,0.76566953125,1.40796417123806,0.242023033913362,0.270645711910098,0.764871182442014,3.68e-05,5281842,0,0,0,0.01721420632104,0,-197.252284662081,878036161
537931.137931035,0.0588235294117647,1.96291985994828,0.76566953125,3.2746649745137,0.373205020569647,1.39988105257743,0.842701644234253,3.68e-05,5281842,0,0,0,0.01721420632104,0,-276.616390101138,255207110
537931.137931035,0.0588235294117647,1.04296692085443,0.51571703125,1.51625221345302,0.559519251088098,0.0712775881402321,0.0479791941539207,3.68000000000001e-05,5281842,0,0,0,0.01721420632104,0,-204.363746488886,891350676
537931.137931035,0.0588235294117647,1.75339018471358,0.51571703125,2.99052290268344,0.583470556617819,0.158047994991984,0.110113411170893,3.67999999999999e-05,5281842,0,0,0,0.01721420632104,0,-259.048624968928,684242430
537931.137931035,0.0588235294117647,1.37755102484896,0.51571703125,1.28271638483827,0.294791875139923,0.0660130798652349,0.298757566175292,3.68e-05,5281842,0,0,0,0.01721420632104,0,-192.986255153607,930316301
