"sigma_P","gamma","phi","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed","Profile_Type","R_naught"
0.00019,0.0588235294117647,1.18343619340487,0.610052979823386,0.0349249388676149,0.0705858234655388,0.710705907552247,3.68e-05,5281842,346877.128877272,0,0,0,0.01721420632104,0,-167.063739816712,475510005,"sigma_P",1.20364730213207
0.00019,0.0588235294117647,1.18463923265017,0.606366076994367,0.0332357806330333,0.0709228604505811,0.693940795490462,3.68e-05,5281842,346875.588648544,0,0,0,0.01721420632104,0,-167.079240191232,376933585,"sigma_P",1.20928652257091
0.00019,0.0588235294117647,1.12865961114129,0.62624322659099,0.0372147363388916,0.0681481738664693,0.722791728239579,3.68e-05,5281842,196877.863415021,0,0,0,0.01721420632104,0,-167.641932442751,498748260,"sigma_P",1.16227439798138
0.00019,0.0588235294117647,1.15041326029151,0.603145981106179,0.0319886140180112,0.0680557825762782,0.684176406130897,3.67999999999999e-05,5281842,196874.939280948,0,0,0,0.01721420632104,0,-166.478000013177,134615254,"sigma_P",1.16041548436124
0.00019,0.0588235294117647,1.15668001991961,0.587207941360527,0.0300394041766886,0.068086796827328,0.665677264473718,3.68e-05,5281842,196876.682081426,0,0,0,0.01721420632104,0,-166.105115445186,509796086,"sigma_P",1.16081820660238
0.00019,0.0588235294117647,1.16210876145812,0.580365454016562,0.0268486630426814,0.0683385491937518,0.636061135055631,3.68e-05,5281842,196876.105393909,0,0,0,0.01721420632104,0,-165.920841785396,125203926,"sigma_P",1.16491806515521
0.00019,0.0588235294117647,1.12159720840714,0.610114857517972,0.0248739956237749,0.0678288381373473,0.594903613927198,3.68e-05,5281842,121874.352745917,0,0,0,0.01721420632104,0,-167.416556747222,499992143,"sigma_P",1.15605122773032
0.00019,0.0588235294117647,1.12346428139317,0.599961195653618,0.0248510248256101,0.0678200452400323,0.595807055429987,3.68e-05,5281842,121877.011478614,0,0,0,0.01721420632104,0,-167.410319505474,527493546,"sigma_P",1.15590378247999
0.00019,0.0588235294117647,1.12344165748299,0.611757495113028,0.0250663683794851,0.067839082208125,0.598372609035519,3.68e-05,5281842,121875.918053837,0,0,0,0.01721420632104,0,-167.438681082696,1050634048,"sigma_P",1.15624414848002
0.00019,0.0588235294117647,1.18052427574282,0.580027796144391,0.0299902068396953,0.0693606029702189,0.668788204437034,3.68e-05,5281842,271874.362769239,0,0,0,0.01721420632104,0,-166.102512071106,152280604,"sigma_P",1.18250369331376
0.00019,0.0588235294117647,1.17519949264265,0.584181921862037,0.029916120369188,0.0693718494181,0.670220714510804,3.68e-05,5281842,271875.1669748,0,0,0,0.01721420632104,0,-166.089440999048,330281988,"sigma_P",1.18271588092205
0.00019,0.0588235294117647,1.17656513872576,0.574284543915333,0.0297113671469692,0.0694810793634058,0.66667075199322,3.67999999999999e-05,5281842,271873.900057038,0,0,0,0.01721420632104,0,-166.119595127225,285764051,"sigma_P",1.18455325125742
0.00019,0.0588235294117647,1.17561273302769,0.581652051898895,0.0297129044231606,0.0694819285046615,0.667379502717018,3.68e-05,5281842,271875.467388059,0,0,0,0.01721420632104,0,-166.120934336808,602981844,"sigma_P",1.18457417130981
0.00019,0.0588235294117647,1.17654086968073,0.584002467198113,0.0296132490189695,0.0695335646038596,0.666676513527767,3.68e-05,5281842,271875.583215218,0,0,0,0.01721420632104,0,-166.156131130638,461586621,"sigma_P",1.18544813807049
0.00019,0.0588235294117647,1.18613278625695,0.616616519310386,0.0352259030024232,0.0717298053855109,0.706987511362584,3.68000000000001e-05,5281842,384375.288992285,0,0,0,0.01721420632104,0,-167.666965789999,387063054,"sigma_P",1.22312465633811
0.00019,0.0588235294117647,1.19075285173384,0.619347529286693,0.0354788766698965,0.0716032347347991,0.708909060075776,3.68e-05,5281842,384375.034063911,0,0,0,0.01721420632104,0,-167.663381494039,374877722,"sigma_P",1.22096730037488
0.00019,0.0588235294117647,1.18958379159549,0.617952385393988,0.0353492144755206,0.0716640582471577,0.705504646626149,3.68e-05,5281842,384375.087458281,0,0,0,0.01721420632104,0,-167.669056769832,889916831,"sigma_P",1.22198579726231
0.00019,0.0588235294117647,1.18620958507334,0.616062204180041,0.0351115439997836,0.0718114928060629,0.70613904417406,3.67999999999999e-05,5281842,384375.921414985,0,0,0,0.01721420632104,0,-167.697318380997,950315796,"sigma_P",1.22451200748101
0.00019,0.0588235294117647,1.1859343558239,0.617124263070614,0.0354343831898588,0.0718515280690079,0.708040440930273,3.68e-05,5281842,384375.296049616,0,0,0,0.01721420632104,0,-167.717501694066,1023321937,"sigma_P",1.22520741731537
0.00019,0.0588235294117647,1.16969362151352,0.579708343391574,0.0281618202816009,0.0687628262460205,0.650804169795578,3.68000000000001e-05,5281842,234375.918473311,0,0,0,0.01721420632104,0,-165.851568586861,495187578,"sigma_P",1.17222550971357
0.00019,0.0588235294117647,1.17297352957022,0.573568838802085,0.0284525392359823,0.0688054043706484,0.653539563164422,3.68e-05,5281842,234376.888618985,0,0,0,0.01721420632104,0,-165.870745415676,879243983,"sigma_P",1.17296127688764
0.00019,0.0588235294117647,1.16740270286501,0.575208168211645,0.028432875523146,0.0688192662278382,0.652472182396778,3.67999999999999e-05,5281842,234377.131329051,0,0,0,0.01721420632104,0,-165.854904272719,972471793,"sigma_P",1.17320264681917
0.00019,0.0588235294117647,1.16538566286939,0.579318319489936,0.0285138699615037,0.0688691439878311,0.654036976519734,3.68e-05,5281842,234373.444831974,0,0,0,0.01721420632104,0,-165.874257064415,431742169,"sigma_P",1.17406673880162
