"delta","gamma","phi","sigma_P","sigma_M","rho","Beta_0","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,1.82669689525037,0.60944921875,1.47600797110356,0.317236495410212,0.0652685006050129,3.68e-05,5281842,346874.940487681,0,0,0,0.01721420632104,0,-200.558765742647,422298887
0,0.0588235294117647,0.966121362317728,0.60944921875,1.46092858834467,0.312638732670746,0.0650845267462369,3.68e-05,5281842,346872.756789029,0,0,0,0.01721420632104,0,-200.501552904293,667253502
0,0.0588235294117647,0.249815948683188,0.60944921875,1.44820032905358,0.220489866198606,0.0670076088310262,3.68000000000001e-05,5281842,346875.827825191,0,0,0,0.01721420632104,0,-200.618178872611,797378189
0,0.0588235294117647,-0.0322577361602215,0.60944921875,1.45839482980009,0.318666259434651,0.06498025460183,3.68000000000001e-05,5281842,346874.289282892,0,0,0,0.01721420632104,0,-200.505831097476,226908194
0,0.0588235294117647,1.35582739175963,0.60944921875,1.44859399466315,0.292224535104384,0.0655104509762701,3.68e-05,5281842,346875.39888555,0,0,0,0.01721420632104,0,-200.526174040086,6153696
0,0.0588235294117647,1.96011102448329,0.10954421875,1.28855037273324,0.0367817612735196,0.0683483396660485,3.68e-05,5281842,46875.5749700143,0,0,0,0.01721420632104,0,-191.354677522626,496412522
0,0.0588235294117647,2.06052746164559,0.10954421875,1.29194196909703,0.0371698503418357,0.068349325215765,3.68e-05,5281842,46875.2028394917,0,0,0,0.01721420632104,0,-191.35981015734,85873320
0,0.0588235294117647,2.12553461191851,0.10954421875,1.42762817707174,0.328105804706453,0.0513891655254969,3.68e-05,5281842,46877.0270215128,0,0,0,0.01721420632104,0,-195.345242038909,847336441
0,0.0588235294117647,2.15665481930112,0.10954421875,1.42348756107938,0.387711216884548,0.0508171740908433,3.68e-05,5281842,46877.1805366168,0,0,0,0.01721420632104,0,-195.369470528486,204155711
0,0.0588235294117647,2.86877636749513,0.10954421875,1.29306137997874,0.0372860771815656,0.0684497620337872,3.68e-05,5281842,46876.9630512368,0,0,0,0.01721420632104,0,-191.355496006108,193354238
0,0.0588235294117647,0.982647832490437,0.35949671875,1.62913684451487,0.599963704219424,0.0699393320774291,3.68e-05,5281842,496876.083710121,0,0,0,0.01721420632104,0,-208.833043361367,573310868
0,0.0588235294117647,-0.0226083609135072,0.35949671875,1.71782946433993,0.513264349587083,0.0739249259838791,3.68e-05,5281842,496876.629131351,0,0,0,0.01721420632104,0,-210.844911816049,1021388205
0,0.0588235294117647,0.180430781020934,0.35949671875,1.56313865435456,0.357922147873123,0.0759790996706288,3.68e-05,5281842,496874.752165199,0,0,0,0.01721420632104,0,-213.82844987061,741277240
0,0.0588235294117647,0.604167962558297,0.35949671875,1.68229402848328,0.445092334557735,0.0710926944337543,3.68e-05,5281842,496875.717320029,0,0,0,0.01721420632104,0,-210.440144728049,51980767
0,0.0588235294117647,-0.164649049416394,0.35949671875,1.54615860655761,0.657881821941696,0.0688247035593991,3.68000000000001e-05,5281842,496874.207551644,0,0,0,0.01721420632104,0,-208.237026006878,718757013
0,0.0588235294117647,1.01319801246254,0.85940171875,6.49090731556844,0.0625106395019823,0.161054369392605,3.68000000000001e-05,5281842,196875.397083931,0,0,0,0.01721420632104,0,-275.210029008333,285808955
0,0.0588235294117647,1.75078519653258,0.85940171875,1.59981195545418,0.0375950428885364,0.071656195962904,3.67999999999999e-05,5281842,196873.967474454,0,0,0,0.01721420632104,0,-197.346189095262,821466693
0,0.0588235294117647,1.2633643758911,0.85940171875,1.23522866753641,0.04720860986855,0.0674800800367291,3.67999999999999e-05,5281842,196877.829169,0,0,0,0.01721420632104,0,-195.170818676519,3814335
0,0.0588235294117647,2.19955201322267,0.85940171875,1.23077970696749,0.0420204231705582,0.0692398262777598,3.68e-05,5281842,196875.523046509,0,0,0,0.01721420632104,0,-195.28165257351,113290170
0,0.0588235294117647,1.87641814165091,0.85940171875,1.30193020670329,0.0537677613013246,0.0672242727399726,3.68e-05,5281842,196875.585217032,0,0,0,0.01721420632104,0,-195.232947444794,452100445
0,0.0588235294117647,0.800069087389608,0.23452046875,1.57810799039851,0.814371267819164,0.0652362919049053,3.68e-05,5281842,421874.918148066,0,0,0,0.01721420632104,0,-205.911318185673,75443424
0,0.0588235294117647,0.328890975900674,0.23452046875,1.56773623704992,0.700838353447121,0.0655699402244454,3.68e-05,5281842,421874.528257635,0,0,0,0.01721420632104,0,-206.571439070178,763119320
0,0.0588235294117647,1.91349058318997,0.23452046875,1.61445565370365,0.813110668323173,0.0656496741456385,3.68e-05,5281842,421873.761403072,0,0,0,0.01721420632104,0,-205.949324652859,375194836
0,0.0588235294117647,1.34375663210278,0.23452046875,1.61692898729267,0.693641804799443,0.0659883017889965,3.68e-05,5281842,421875.585109214,0,0,0,0.01721420632104,0,-206.676870387372,59832854
