"gamma","phi","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0.249216300940439,-1.20471405109198,0.398551796875,120.07949981572,0.0312038808847056,0.134654299260721,0.886371957469338,3.68e-05,5281842,145313.867940494,0,0,0,0.01721420632104,0,-416.805097239264,493547166
0.249216300940439,-1.19296074662021,0.398551796875,120.073882962931,0.036463010909953,0.137693381052034,0.856142817960276,3.67999999999999e-05,5281842,145313.742839192,0,0,0,0.01721420632104,0,-416.804571166531,1019367351
0.249216300940439,-4.03324828399529,0.398551796875,15.9616391181575,0.0473126691677878,0.243214209616745,0.641855650984801,3.67999999999999e-05,5281842,145313.896043295,0,0,0,0.01721420632104,0,-319.272645620368,1067452208
0.249216300940439,-4.31682425704461,0.398551796875,31.6390743889601,0.0472003700149351,0.21152156178364,0.910402605934052,3.68e-05,5281842,145312.866765501,0,0,0,0.01721420632104,0,-363.161601135226,667978728
0.249216300940439,-3.64939362992258,0.398551796875,33.0306690205836,0.0594373455964465,0.2156873934987,0.750558815409087,3.67999999999999e-05,5281842,145312.757040539,0,0,0,0.01721420632104,0,-354.357936800565,683984631
0.249216300940439,1.54645752584675,0.898456796875,0.465107147587569,0.0670102805103824,0.307113550813624,0.181522621713606,3.68e-05,5281842,445311.861269998,0,0,0,0.01721420632104,0,-182.916462492063,573524728
0.249216300940439,1.49796311425707,0.898456796875,0.47462179394053,0.0591056426004074,0.314491560636656,0.186438957189223,3.68e-05,5281842,445314.099628919,0,0,0,0.01721420632104,0,-182.789258240618,247673112
0.249216300940439,1.30691605235932,0.898456796875,0.44942375391231,0.0566839889403118,0.307096085232094,0.196253268023008,3.68e-05,5281842,445313.480187308,0,0,0,0.01721420632104,0,-182.83168737868,715310764
0.249216300940439,1.578868041093,0.898456796875,0.467527059963711,0.0693761410895829,0.308878177363837,0.176565073828708,3.68e-05,5281842,445311.974376914,0,0,0,0.01721420632104,0,-183.053815054082,367505051
0.249216300940439,1.6032247546941,0.898456796875,0.415863408743444,0.0535066938235133,0.322155119217274,0.19030720788331,3.68e-05,5281842,445313.983495652,0,0,0,0.01721420632104,0,-183.46932194813,300992064
0.249216300940439,2.0288491065211,0.148599296875,4.18875172096701,0.41054631653757,0.884756573932241,0.546960706689098,3.67999999999999e-05,5281842,295314.078712891,0,0,0,0.01721420632104,0,-259.998172871758,125678841
0.249216300940439,1.5529296720048,0.148599296875,1.78273436022906,0.336884111546293,0.385566259162756,0.389813728917855,3.68000000000001e-05,5281842,295313.412245192,0,0,0,0.01721420632104,0,-211.450944215634,489473525
0.249216300940439,1.86105611440639,0.148599296875,3.52510405817541,0.279351878503396,0.655483674108433,0.516537272814817,3.67999999999999e-05,5281842,295312.506065456,0,0,0,0.01721420632104,0,-247.495234789065,623504318
0.249216300940439,1.57149238343847,0.148599296875,1.01603215990126,0.414486093150132,0.309683473656213,0.305925805624296,3.68e-05,5281842,295313.330323748,0,0,0,0.01721420632104,0,-198.862717348271,17464542
0.249216300940439,1.59269094724585,0.148599296875,1.00649391016346,0.424845454551577,0.309638948717742,0.310158809652205,3.68e-05,5281842,295312.628522958,0,0,0,0.01721420632104,0,-198.552781648504,956955134
0.249216300940439,1.38441618681203,0.648504296875,10.059032443984,0.138996307932077,0.727614622650989,0.20023965098624,3.68e-05,5281842,595313.175788546,0,0,0,0.01721420632104,0,-295.656993099307,175945646
0.249216300940439,1.78083138563615,0.648504296875,17.8173385798432,0.197870255819193,1.11674998118501,0.280044219791007,3.68e-05,5281842,595313.978615048,0,0,0,0.01721420632104,0,-335.922731754821,336300918
0.249216300940439,2.15314533056905,0.648504296875,75.5007385086063,0.24769006042927,0.491865902465422,0.121426632709152,3.68e-05,5281842,595311.888918395,0,0,0,0.01721420632104,0,-375.679524711,527208017
0.249216300940439,2.15767686806966,0.648504296875,9.42960280327501,0.197046385202583,0.968765155060512,0.381693520660384,3.68e-05,5281842,595310.790123923,0,0,0,0.01721420632104,0,-280.09553780517,916648859
0.249216300940439,1.35468792775048,0.648504296875,15.0611740832373,0.117235055677199,0.555697530645442,0.100898583942069,3.68e-05,5281842,595312.687342366,0,0,0,0.01721420632104,0,-303.498724242447,277040312
0.249216300940439,1.4239853599425,0.023623046875,0.703801099746642,0.101661053793194,0.2507082292514,0.206113310367376,3.68e-05,5281842,70311.0217091898,0,0,0,0.01721420632104,0,-180.939243516899,658338869
0.249216300940439,1.43857285049053,0.023623046875,0.674089085294039,0.124463120053877,0.246587870011691,0.212733998957177,3.68e-05,5281842,70312.6741590282,0,0,0,0.01721420632104,0,-179.774100792584,38389490
0.249216300940439,1.44712416594063,0.023623046875,0.672163704430913,0.128115929764224,0.245588685299399,0.214152515206932,3.68e-05,5281842,70315.2742015458,0,0,0,0.01721420632104,0,-179.576174663562,530963867
0.249216300940439,1.45409746888289,0.023623046875,0.658909042811813,0.129266290785183,0.245253758851323,0.212783780263487,3.68e-05,5281842,70313.9315941641,0,0,0,0.01721420632104,0,-179.709333172994,841548098
0.249216300940439,1.46228679463646,0.023623046875,0.670287841809778,0.128711016849189,0.245262211307229,0.214039330261455,3.67999999999999e-05,5281842,70313.8458102357,0,0,0,0.01721420632104,0,-179.733898363979,426525925
0.249216300940439,1.57266263387376,0.523528046875,0.564939920024202,0.0895491562452953,0.298444069779372,0.205889477469808,3.68e-05,5281842,370312.604236097,0,0,0,0.01721420632104,0,-185.485963872496,837898244
0.249216300940439,1.63260210275601,0.523528046875,0.638848623143514,0.133081712135577,0.289414076499166,0.215394296368873,3.68e-05,5281842,370313.291756458,0,0,0,0.01721420632104,0,-185.680915622355,998126784
0.249216300940439,1.57627986651584,0.523528046875,0.583484955003721,0.0831166434201755,0.307344974347758,0.202608930685002,3.68000000000001e-05,5281842,370312.913920797,0,0,0,0.01721420632104,0,-186.087060734329,146852533
0.249216300940439,1.62511626697648,0.523528046875,0.645476465226414,0.0941668863178064,0.300609629099509,0.202827960474723,3.68e-05,5281842,370313.327746829,0,0,0,0.01721420632104,0,-185.585021877322,19582275
0.249216300940439,1.46757393469855,0.523528046875,0.595187671392947,0.0956401778322816,0.303675945365783,0.221454605508932,3.68e-05,5281842,370308.914398057,0,0,0,0.01721420632104,0,-185.857272445577,36757768
0.249216300940439,1.84184021075839,0.273575546875,0.0276273231170642,0.271773612529975,0.0254682705407789,0.407016516777682,3.68e-05,5281842,220313.880963894,0,0,0,0.01721420632104,0,-985.778742052742,85902488
0.249216300940439,2.29000985835571,0.273575546875,0.275171612648427,0.00614433598807626,1.98178682317568,0.892692412780373,3.68e-05,5281842,220314.60788849,0,0,0,0.01721420632104,0,-800.615346486502,1041793432
0.249216300940439,1.98542699548717,0.273575546875,0.0254451626338382,0.167456012681662,0.0359100156116169,0.292817893959296,3.67999999999999e-05,5281842,220312.516451623,0,0,0,0.01721420632104,0,-985.778926214879,170628228
0.249216300940439,1.58332909479919,0.273575546875,0.746617410736,0.125971039672418,0.2832066356015,0.222743234738082,3.68e-05,5281842,220313.458837137,0,0,0,0.01721420632104,0,-187.861938682789,981800751
0.249216300940439,1.76014971908964,0.273575546875,0.0285666055161793,0.179877822518385,0.0366413606926859,0.464418986266688,3.68e-05,5281842,220312.487352897,0,0,0,0.01721420632104,0,-985.8213381946,821230486
0.249216300940439,-4.05107906941084,0.773480546875,30.1303204009077,0.196755846328513,0.236592213526972,0.993049901176134,3.68e-05,5281842,520313.133634506,0,0,0,0.01721420632104,0,-360.874107311178,78450634
0.249216300940439,-3.21726827202913,0.773480546875,83.0481781737677,0.162877432788123,0.200775886118318,0.997068984302442,3.67999999999999e-05,5281842,520310.942926356,0,0,0,0.01721420632104,0,-392.18001656431,563098303
