"phi","gamma","sigma_P","sigma_M","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
0,0.0588235294117647,0.26576453125,1.55784177904831,0.594444796677243,0.0661581180520088,0.103382558478656,3.68e-05,5281842,346875.525527638,0,0,0,0.01721420632104,0,-203.700553869624,267479264
0,0.0588235294117647,0.26576453125,1.52146174949967,0.571375153818313,0.0668324876740414,0.146582550533672,3.68e-05,5281842,346877.651930299,0,0,0,0.01721420632104,0,-204.558272603824,200446084
0,0.0588235294117647,0.26576453125,1.67616481546291,0.421719778425744,0.0720991035541685,0.204134732169945,3.68e-05,5281842,346875.082985668,0,0,0,0.01721420632104,0,-209.025349687143,882175463
0,0.0588235294117647,0.26576453125,1.51841678223633,0.546963858543124,0.0684218331934659,0.18544790563736,3.68e-05,5281842,346875.379830247,0,0,0,0.01721420632104,0,-205.877015453522,854868223
0,0.0588235294117647,0.26576453125,1.54994783401269,0.578453272580856,0.0675822608706576,0.14773201113123,3.68e-05,5281842,346876.839840406,0,0,0,0.01721420632104,0,-204.688866960055,976172860
0,0.0588235294117647,0.76566953125,1.06112876420417,0.0190646533100296,0.073833265436047,0.218899556463135,3.68000000000001e-05,5281842,46876.1701855089,0,0,0,0.01721420632104,0,-188.804317949508,340724005
0,0.0588235294117647,0.76566953125,1.07993187853827,0.0194327919483005,0.0735300037507524,0.221259674530304,3.68e-05,5281842,46874.599096732,0,0,0,0.01721420632104,0,-188.76755448003,432055332
0,0.0588235294117647,0.76566953125,1.08003429707422,0.0196365680739134,0.0738814138695589,0.224587129179567,3.67999999999999e-05,5281842,46875.0969125102,0,0,0,0.01721420632104,0,-188.810363035076,361065607
0,0.0588235294117647,0.76566953125,1.08255417073138,0.0193662150301664,0.0737684742441095,0.212906772521163,3.68e-05,5281842,46874.7046731405,0,0,0,0.01721420632104,0,-188.788107818886,488174842
0,0.0588235294117647,0.76566953125,1.20033512386925,0.0975055691524774,0.0549443624584834,0.14238133469644,3.68e-05,5281842,46877.573704345,0,0,0,0.01721420632104,0,-193.534109239165,918924483
0,0.0588235294117647,0.01581203125,2.34316562803253,0.793673158078535,0.0655957522432974,0.229062688490979,3.67999999999999e-05,5281842,496873.163424939,0,0,0,0.01721420632104,0,-229.270788206519,248980575
0,0.0588235294117647,0.01581203125,1.9714361995363,0.771273296245549,0.0662823519166202,0.0731552385948754,3.68e-05,5281842,496874.602208971,0,0,0,0.01721420632104,0,-219.008287150273,320351582
0,0.0588235294117647,0.01581203125,2.19393048311583,0.713548311064411,0.0655296947251099,0.1349176337711,3.68e-05,5281842,496876.460613834,0,0,0,0.01721420632104,0,-223.790206465389,722118986
0,0.0588235294117647,0.01581203125,2.08795784997627,0.721225672983286,0.0657712687100929,0.117996019697544,3.68e-05,5281842,496875.889323804,0,0,0,0.01721420632104,0,-222.650295853862,777666310
0,0.0588235294117647,0.01581203125,1.97283934283717,0.819028468662251,0.0657862077291733,0.0800327504954701,3.68e-05,5281842,496874.571401213,0,0,0,0.01721420632104,0,-218.224967438943,167233123
0,0.0588235294117647,0.51571703125,1.42372825330832,0.370104727639169,0.0615870848174093,0.25772768981308,3.68e-05,5281842,196875.362979277,0,0,0,0.01721420632104,0,-197.19312016005,935514667
0,0.0588235294117647,0.51571703125,1.39108066432745,0.196592427919594,0.0637718840558099,0.1591973819922,3.68e-05,5281842,196876.752376601,0,0,0,0.01721420632104,0,-196.43594768795,242960810
0,0.0588235294117647,0.51571703125,1.43961130543198,0.465956772421304,0.0610585684244826,0.296288881019898,3.68e-05,5281842,196874.578832046,0,0,0,0.01721420632104,0,-197.612685293789,434127760
0,0.0588235294117647,0.51571703125,1.37113711692371,0.15432055967901,0.0643918477123508,0.114321008514518,3.68e-05,5281842,196874.721897686,0,0,0,0.01721420632104,0,-196.317276290983,623889892
