"sigma_M","gamma","phi","sigma_P","rho","Beta_0","delta","mu_H","N_0","I_0","R_0","C_0","r","omega","epsilon","LL","seed"
1e-04,0.0588235294117647,3.18168949035919,0.60944921875,0.153904557552971,4.30914549754583,0.68090470016065,3.67999999999999e-05,5281842,346875.652371052,0,0,0,0.01721420632104,0,-546.150482401345,225935951
1e-04,0.0588235294117647,2.91008869443042,0.60944921875,0.318648010343145,3.33211781470152,0.576897241636423,3.68e-05,5281842,346877.128483281,0,0,0,0.01721420632104,0,-509.087190485456,919290791
1e-04,0.0588235294117647,3.12596869585988,0.60944921875,0.315256929743886,3.51020366730382,0.493198902175576,3.68e-05,5281842,346875.933792489,0,0,0,0.01721420632104,0,-499.948500727054,637539432
1e-04,0.0588235294117647,3.11772423806543,0.60944921875,0.152103778285243,4.44731068978425,0.615943051647196,3.68000000000001e-05,5281842,346875.231215864,0,0,0,0.01721420632104,0,-538.945062831697,1453534
1e-04,0.0588235294117647,2.34544336410466,0.60944921875,0.270941429292417,3.32077958334244,0.726597076191401,3.68e-05,5281842,346874.482797079,0,0,0,0.01721420632104,0,-559.880279370888,675754850
1e-04,0.0588235294117647,0.615865805164006,0.10954421875,0.0501133060993993,0.0553174391093742,0.572490065780532,3.68e-05,5281842,46877.1259729316,0,0,0,0.01721420632104,0,-475.610277922094,607254921
1e-04,0.0588235294117647,1.33916603467137,0.10954421875,0.0677587100605311,0.0525216120265263,0.0139092453851367,3.68e-05,5281842,46876.280302488,0,0,0,0.01721420632104,0,-617.56040863292,393425525
1e-04,0.0588235294117647,1.88370098808035,0.10954421875,0.0685419655805121,0.0528502545248751,0.0226579905832237,3.68000000000001e-05,5281842,46877.0320221728,0,0,0,0.01721420632104,0,-617.172158652158,517966648
1e-04,0.0588235294117647,0.801337279126999,0.10954421875,0.0550195328866736,0.0559510738068568,0.24487244502168,3.68000000000001e-05,5281842,46875.8786381799,0,0,0,0.01721420632104,0,-709.922141529378,799791879
1e-04,0.0588235294117647,1.0767626267315,0.10954421875,0.0699267634225551,0.0531619553249692,0.0486177381826498,3.68e-05,5281842,46875.9572820119,0,0,0,0.01721420632104,0,-615.474976192689,821649050
1e-04,0.0588235294117647,2.11231392441427,0.35949671875,0.0883199489068788,2.33199285985565,0.903611398790774,3.68e-05,5281842,496876.438795593,0,0,0,0.01721420632104,0,-581.340273555898,208114963
1e-04,0.0588235294117647,2.15870583057998,0.35949671875,0.00437952578564695,0.667936153145635,0.79233122998659,3.68e-05,5281842,496873.942014636,0,0,0,0.01721420632104,0,-835.031551966795,431867268
1e-04,0.0588235294117647,2.2040155256803,0.35949671875,0.00228109531967091,0.623536605873356,0.830853293580475,3.67999999999999e-05,5281842,496876.94910573,0,0,0,0.01721420632104,0,-819.24514201356,406208142
1e-04,0.0588235294117647,1.61512599753796,0.35949671875,0.00402062589580906,0.190591522522874,0.81646047217332,3.67999999999999e-05,5281842,496874.143398473,0,0,0,0.01721420632104,0,-919.07974995237,856888121
1e-04,0.0588235294117647,2.23424680463107,0.35949671875,0.00240155954064128,0.317880071603576,0.621668740213724,3.67999999999999e-05,5281842,496875.207642175,0,0,0,0.01721420632104,0,-803.97234554852,183110835
1e-04,0.0588235294117647,1.90086194891891,0.85940171875,0.412273256607525,2.40501907425123,0.54188208859149,3.68e-05,5281842,196877.190532185,0,0,0,0.01721420632104,0,-530.018523769269,327850927
1e-04,0.0588235294117647,2.31430785855901,0.85940171875,0.32916086097959,3.3273929386229,0.309895710498618,3.67999999999999e-05,5281842,196873.994676066,0,0,0,0.01721420632104,0,-500.161676893526,52642990
1e-04,0.0588235294117647,1.02932265982141,0.85940171875,0.580666535484133,4.54967424941934,0.493877151487455,3.68e-05,5281842,196876.462035645,0,0,0,0.01721420632104,0,-516.463561494662,850079407
1e-04,0.0588235294117647,1.9464756535311,0.85940171875,0.592997906194912,1.55831001678353,0.418333615317011,3.67999999999999e-05,5281842,196875.350442601,0,0,0,0.01721420632104,0,-527.227233187373,530148431
9.99999999999999e-05,0.0588235294117647,1.91370946175735,0.85940171875,0.548209175717922,1.75288802905875,0.57697414715938,3.67999999999999e-05,5281842,196875.290970015,0,0,0,0.01721420632104,0,-528.096231236503,792153586
1e-04,0.0588235294117647,2.18142050963555,0.23452046875,0.00231364169393556,0.361204071899007,0.651645778829865,3.67999999999999e-05,5281842,421874.466937676,0,0,0,0.01721420632104,0,-810.073793991312,840038420
1e-04,0.0588235294117647,0.888821786999133,0.23452046875,0.00359889945463526,0.123304180564188,0.394441359154102,3.68e-05,5281842,421873.247594283,0,0,0,0.01721420632104,0,-794.934379789624,1014289369
1e-04,0.0588235294117647,0.880720620556338,0.23452046875,0.00388397137167733,0.11399227167401,0.392227342402109,3.68e-05,5281842,421874.479826981,0,0,0,0.01721420632104,0,-763.734443220995,266990487
1e-04,0.0588235294117647,1.02628074192191,0.23452046875,0.00342134695495886,0.113455908901749,0.368304836746372,3.68e-05,5281842,421875.679537847,0,0,0,0.01721420632104,0,-799.352832335803,221356453
1e-04,0.0588235294117647,1.05275158742142,0.23452046875,0.00329361047606518,0.140422844406978,0.402598433639675,3.68000000000001e-05,5281842,421875.692967387,0,0,0,0.01721420632104,0,-835.310838319265,962906665
1e-04,0.0588235294117647,2.47499238530275,0.73442546875,0.14565140081132,0.15198033156593,0.894097138876959,3.67999999999999e-05,5281842,121875.739001462,0,0,0,0.01721420632104,0,-924.016086536716,507642733
1e-04,0.0588235294117647,2.35892394378157,0.73442546875,0.150503717755798,0.156739005356997,0.88938080043224,3.67999999999999e-05,5281842,121873.864017492,0,0,0,0.01721420632104,0,-925.10588378521,625281682
1e-04,0.0588235294117647,2.37942713712722,0.73442546875,0.0570550742742343,1.26302384129547,0.981350694589102,3.67999999999999e-05,5281842,121876.069679704,0,0,0,0.01721420632104,0,-868.216530288732,324437742
1e-04,0.0588235294117647,2.47592041520195,0.73442546875,0.225435179065758,0.143812289050688,0.929594665819604,3.67999999999999e-05,5281842,121875.823154671,0,0,0,0.01721420632104,0,-923.639011425452,391415096
1e-04,0.0588235294117647,2.56699194975167,0.73442546875,0.102950234005438,0.132719891381984,0.840385928768995,3.67999999999999e-05,5281842,121877.061335188,0,0,0,0.01721420632104,0,-923.771829071469,7467251
1e-04,0.0588235294117647,1.68342416548556,0.98437796875,0.00316735659474486,0.244051311292335,0.0248558229321701,3.67999999999999e-05,5281842,571876.277501821,0,0,0,0.01721420632104,0,-864.92474494176,85421712
1e-04,0.0588235294117647,1.4433109066881,0.98437796875,0.00417200124870522,0.230014241976293,0.0222276832079247,3.67999999999999e-05,5281842,571874.912083315,0,0,0,0.01721420632104,0,-862.746590719649,267814817
1e-04,0.0588235294117647,1.83432069135594,0.98437796875,0.00330262616941117,0.17213755269289,0.0195829224947124,3.68e-05,5281842,571874.259457654,0,0,0,0.01721420632104,0,-444.291760507964,85843566
1e-04,0.0588235294117647,1.02210122702868,0.98437796875,0.00324687997321814,0.17456671010269,0.0193241833241566,3.68e-05,5281842,571873.856819561,0,0,0,0.01721420632104,0,-443.813060872316,501605408
9.99999999999999e-05,0.0588235294117647,1.40071591742189,0.98437796875,0.00344666999694609,0.205446615256127,0.0446381577109492,3.68e-05,5281842,571875.943903819,0,0,0,0.01721420632104,0,-496.055117888286,1044507894
1e-04,0.0588235294117647,0.906158809927805,0.48447296875,0.0276299412619315,0.0718783878516178,0.675163660496441,3.68000000000001e-05,5281842,271876.367405773,0,0,0,0.01721420632104,0,-323.291382853402,174385878
1e-04,0.0588235294117647,2.7961970278933,0.48447296875,0.554319820922737,0.820078268950565,0.316928943970299,3.67999999999999e-05,5281842,271875.979428497,0,0,0,0.01721420632104,0,-689.623760049287,1018000265
1e-04,0.0588235294117647,1.96427409622859,0.48447296875,0.45373301645173,1.34230138808757,0.677635150422751,3.67999999999999e-05,5281842,271873.541385308,0,0,0,0.01721420632104,0,-569.053082491612,392185635
1e-04,0.0588235294117647,2.02566495384203,0.48447296875,0.692590473017092,0.956954642632077,0.338913690008999,3.67999999999999e-05,5281842,271875.335378783,0,0,0,0.01721420632104,0,-625.662796812097,516318263
1e-04,0.0588235294117647,1.56544909434531,0.48447296875,0.00952018072174865,0.327276715250538,0.643006781837034,3.68e-05,5281842,271876.158605823,0,0,0,0.01721420632104,0,-876.231489806742,237537554
1e-04,0.0588235294117647,0.0395844089589807,0.79691359375,0.663996872325629,0.666326303500344,0.35471486476693,3.67999999999999e-05,5281842,384375.106782613,0,0,0,0.01721420632104,0,-863.534206762196,972429098
1e-04,0.0588235294117647,0.96581180534914,0.79691359375,0.0253592786587079,0.08149480376006,0.70526321962647,3.68000000000001e-05,5281842,384375.217619093,0,0,0,0.01721420632104,0,-218.203907571367,1037996983
1e-04,0.0588235294117647,1.05579881911025,0.79691359375,0.0441087909795353,0.070682697807116,0.714868821682945,3.68e-05,5281842,384375.567329422,0,0,0,0.01721420632104,0,-217.197848898965,1046025622
1e-04,0.0588235294117647,0.875362532868528,0.79691359375,0.0324235357479057,0.0704040327300767,0.686488773207216,3.68e-05,5281842,384375.880162183,0,0,0,0.01721420632104,0,-274.079784157277,803896756
1e-04,0.0588235294117647,0.934057136048223,0.79691359375,0.0183250130569395,0.172992707131772,0.704840658007651,3.67999999999999e-05,5281842,384374.932779951,0,0,0,0.01721420632104,0,-934.406366131659,420733869
1e-04,0.0588235294117647,1.69524255912182,0.29700859375,0.714916983528469,0.793454518396675,0.301250111517912,3.67999999999999e-05,5281842,84373.5713552284,0,0,0,0.01721420632104,0,-847.299612064214,994624378
1e-04,0.0588235294117647,1.44260171343439,0.29700859375,0.712497916385537,0.785017688941753,0.231973032193737,3.68e-05,5281842,84374.2884548637,0,0,0,0.01721420632104,0,-851.675045924255,979708703
1e-04,0.0588235294117647,2.11780093399202,0.29700859375,0.649961958888361,0.853285674278041,0.324377468067275,3.67999999999999e-05,5281842,84374.8854553855,0,0,0,0.01721420632104,0,-655.273908503811,28732610
